x,y,val
10,21,16179
8,12,3295
27,8,6492
30,24,242947
29,19,31147
9,29,9599
31,30,7780
31,8,4646
18,27,3166
4,14,3252
8,1,29156
14,18,2
20,3,1485
7,4,6352
19,18,349
17,7,16650
6,16,14754
26,21,1782
28,24,13736
21,16,1125
10,1,759
31,3,10644
16,9,765
17,3,12553
13,26,7595
20,14,197
11,22,11018
24,22,6490
2,28,11955
12,2,189
0,16,36268
29,15,9685
29,23,5855
11,13,19
0,15,10509
4,16,3839
18,4,517
18,20,3961
15,3,24275
7,8,1514
7,26,8269
26,20,815
15,14,348
26,3,8827
5,15,102
23,11,19403
22,1,14858
25,5,3447
3,17,252
5,0,14158
3,6,1463
12,3,106
8,11,919
7,6,4895
15,6,10323
21,2,3163
9,27,51767
22,31,4231
6,26,5156
14,16,2048
10,5,2767
12,29,2993
16,24,78863
21,3,3828
17,22,27379
29,20,8209
29,16,5994
31,17,3428
3,7,2359
4,28,6016
0,22,11003
16,8,2923
1,21,5485
16,4,686
29,9,8772
30,28,1979
29,17,6015
7,2,3399
7,0,22116
30,19,14565
20,7,5635
4,8,2833
18,8,7272
12,14,4887
23,22,4968
0,29,7436
30,14,8121
7,28,14651
3,0,247
2,22,7709
30,12,6696
2,9,3208
23,20,393
24,6,6569
11,23,9137
13,0,3530
8,4,2456
30,13,9794
25,14,3836
25,15,2058
4,23,22185
31,22,26992
6,10,40
9,30,11380
21,6,3521
26,27,12717
6,17,7340
0,27,21352
0,9,6
6,29,14230
0,7,2499
17,24,20174
28,13,9750
4,24,8038
25,31,2027
1,20,9173
3,23,29196
6,18,113565
1,1,5587
12,28,7684
20,18,702
30,22,52915
31,26,20865
9,11,53
26,5,9569
26,2,9819
13,19,2373
3,24,4811
26,11,14127
18,18,2580
17,14,618
30,6,6216
0,31,26916
10,23,14904
27,7,11922
12,7,7322
0,2,3582
27,0,4296
5,13,13714
24,23,6338
26,1,5376
20,23,18797
3,22,15974
19,23,7468
19,27,1982
24,19,595
2,8,909
22,8,108
26,19,334
31,4,13069
31,11,5057
5,10,887
24,4,3762
31,2,10828
24,26,4241
25,12,32206
10,8,8081
14,27,5007
30,30,2615
31,1,7546
3,5,3740
20,17,484
15,11,4487
5,8,2991
20,5,4544
20,28,4825
18,2,12981
27,31,1919
23,26,3464
24,16,15289
5,17,17146
28,0,8822
8,21,4858
11,9,3341
9,16,5646
31,21,16834
25,17,5537
1,9,142
10,6,224
31,10,10301
10,22,9784
6,6,988
31,28,4405
4,9,865
30,23,69034
31,29,4242
7,18,50891
14,29,1873
25,10,29438
22,30,9253
20,27,2819
16,26,5761
30,17,4861
7,22,14397
13,2,47
8,14,12651
16,5,18631
10,11,1429
1,24,4912
29,30,4421
16,3,14019
8,5,1448
15,18,1753
7,13,9693
3,20,26571
18,16,222
24,25,3458
28,16,2537
14,7,2313
31,12,5036
19,20,4025
9,17,130
22,4,2773
31,18,4491
21,25,1830
13,9,216
7,17,37490
28,31,36735
1,27,9967
24,15,10301
9,2,671
9,20,6625
6,3,5998
22,19,29
9,8,5530
6,31,9524
26,29,6384
1,5,43
3,13,1343
22,15,9003
2,5,45
19,26,5725
31,14,11859
1,11,4
10,10,12
10,31,2134
10,4,947
22,16,1213
26,9,10751
21,31,6366
11,30,1837
18,5,3479
0,18,20300
21,1,4070
20,2,2736
21,13,2588
7,25,10726
0,6,3960
29,25,16152
13,27,9984
9,13,4630
0,10,526
1,8,757
14,13,110
15,1,1240
5,4,1336
18,6,8447
31,20,20713
20,22,13233
3,27,8417
1,22,9019
14,21,10800
28,30,5417
30,1,10342
12,22,14612
9,24,9094
10,18,4808
27,1,5582
4,15,509
1,26,5567
13,23,43192
10,25,10309
8,8,624
12,8,1495
26,31,1692
5,2,381
18,22,12959
10,27,10742
16,17,1462
14,14,487
13,31,681
31,23,55681
18,14,18
22,9,296
11,2,2549
28,5,12416
31,19,8363
24,7,12020
20,9,2988
21,17,135
16,16,10296
6,9,1669
4,1,33
25,11,249564
11,6,2043
16,15,244
23,28,1668
19,14,10
26,26,11671
6,2,120
31,5,8486
24,31,2352
1,17,1438
4,31,9377
20,25,3350
5,20,16658
13,4,2238
2,15,13220
5,31,6823
14,26,7231
24,9,10378
8,18,5860
21,4,3294
0,1,894
0,8,788
0,21,22024
10,26,6783
19,31,3908
20,0,8897
14,30,1048
19,13,1313
13,20,8960
3,10,99
17,21,17434
18,9,5087
3,3,1124
6,0,10172
4,6,964
9,4,1506
7,15,206
29,11,6988
17,31,7321
13,25,9962
17,5,10716
13,15,4687
19,2,5457
7,1,6006
9,5,4412
28,23,4394
22,25,4051
26,17,13671
11,31,1599
12,11,8929
20,19,1456
7,11,9266
5,1,2377
30,29,3725
10,16,2579
3,30,28296
7,29,8986
8,15,4786
4,0,9487
28,17,779
2,29,5667
30,16,3890
12,30,206
26,15,3110
28,20,4043
22,24,11931
17,15,3494
21,20,2074
17,25,17541
14,15,4274
5,18,13571
27,12,19055
18,15,1548
1,4,28
23,24,9913
22,12,1596
22,20,1727
21,23,14036
16,25,32922
22,10,2195
24,10,18137
29,7,12528
29,21,13085
23,14,81
23,18,369
8,13,10963
26,18,1324
26,8,26451
7,21,9672
6,21,7812
11,10,1855
26,4,14908
30,18,5745
9,7,2000
8,7,4211
17,12,4232
5,7,19522
28,19,3138
1,13,251
19,22,13317
10,24,6688
19,3,42
1,30,6164
25,30,1874
2,6,5343
27,10,8833
23,27,3231
7,10,934
12,13,12
29,24,20704
14,3,82
13,7,2595
8,31,6775
17,9,6195
22,7,494
13,3,17
19,12,20122
10,30,10538
14,11,1849
4,19,8595
10,12,81
4,22,11905
5,9,124
12,17,2961
26,13,18838
16,18,6149
29,1,20701
21,8,15698
30,8,6490
18,12,3831
14,10,65
4,27,9581
16,1,6841
14,1,1194
3,9,4715
16,28,2096
3,29,5159
31,13,5776
27,14,6763
19,30,3064
21,21,5455
13,14,2084
31,31,6199
13,6,16619
15,9,556
2,7,1646
1,25,14795
13,12,135
11,15,26
16,13,62
15,26,9714
15,5,12121
11,11,3855
17,1,48677
30,11,13138
2,25,4255
21,10,1030
19,19,1982
19,29,1831
16,0,5319
0,14,10013
