x,y,Ind,Ind_0_3,Ind_11_17,Ind_18_24,Ind_25_39,Ind_40_54,Ind_4_5,Ind_55_64,Ind_65_79,Ind_6_10,Ind_80p,Ind_inc,Ind_snv,Men,Men_pauv
110,117,2,0.1,0.1,0,0.3,0.2,0.1,0.5,0.3,0.1,0.3,0,33446.1,0.7,0.2
111,111,5,0,0.7,0.30000000000000004,0.2,1.5,0,1.1,0.5,0,0.6000000000000001,0.1,95257.20000000001,2,0.7
111,112,1,0,0.2,0.1,0,0.3,0,0.2,0.1,0,0.1,0,19051.4,0.4,0.1
111,113,5,0.3,0.2,0.1,0.8,0.6,0.2,1.2,0.7,0.2,0.7,0,83615.3,1.8,0.5
111,126,1,0,0.1,0,0.1,0.3,0,0.1,0.2,0.1,0.1,0,17917.7,0.3,0
111,127,3,0.1,0.2,0.1,0.3,0.8,0.1,0.1,0.6,0.3,0.3,0.1,53753.1,1,0.1
112,110,9,0.7,0.7,0,1.5,1.6,0.2,1.2999999999999998,1.6,0.30000000000000004,0.9,0.2,188120.5,3.6,0.5
112,111,12,0.7999999999999999,1,0,2,2.2,0.2,1.8,2.2,0.5,1.1,0.2,250827.4,4.8,0.7
112,123,6,0.3,0.8,0,1.1,1.5,0,0.3,0.4,1.1,0.5,0,93452.8,1.7,0.3
112,124,4,0.2,0.5,0,0.7,1.1,0,0.2,0.3,0.7,0.3,0,62301.8,1.1,0.2
112,125,4,0.2,0.5,0,0.7,1.1,0,0.2,0.3,0.7,0.3,0,62301.8,1.1,0.2
113,110,4,0.3,0.3,0,0.7,0.7,0.1,0.6,0.7,0.1,0.4,0.1,83609.1,1.6,0.2
113,124,4,0.2,0.5,0,0.7,1.1,0,0.2,0.3,0.7,0.3,0,62301.8,1.1,0.2
113,125,4,0.2,0.5,0,0.7,1.1,0,0.2,0.3,0.7,0.3,0,62301.8,1.1,0.2
113,127,7,0.2,1.3,0.6,0.7,2.1,0,0.5,0.7,0.3,0.2,0.4,126605.2,2,0.4
113,107,7,0.2,0.2,0.1,1.8,1,0,1.5,1.3,0.1,0.8,0,128626.1,3.3,0.8
113,108,3,0.2,0.30000000000000004,0,0.5,0.6000000000000001,0,0.4,0.6000000000000001,0.1,0.30000000000000004,0,62706.899999999994,1.2000000000000002,0.2
113,109,3,0.2,0.30000000000000004,0,0.5,0.6000000000000001,0,0.4,0.6000000000000001,0.1,0.30000000000000004,0,62706.899999999994,1.2000000000000002,0.2
114,120,7,0,1.2,0.2,0.6,1.9,0.1,0.9,0.7,0.9,0.3,0.2,112554.5,2.2,0.7
114,121,3,0,0.5,0.1,0.2,0.8,0.1,0.4,0.3,0.4,0.1,0.1,48237.7,1,0.3
114,110,1,0.1,0.1,0,0.2,0.2,0,0.1,0.2,0,0.1,0,20902.3,0.4,0.1
114,123,23,1,3.4,0.5,3.7,6.1,0,1.3,1.9,3.3000000000000003,1.4,0.4,373301.6,6.5,1.3
114,124,37.5,1.8,4.3,1,6.2,6.6,0,1.8,11.3,0.5,3.3,0.7,657440.4,14.5,1.7
114,125,4,0.1,0.8,0.3,0.4,1.2,0,0.3,0.4,0.2,0.1,0.2,72345.8,1.2,0.2
114,126,21,0.6,4,1.7000000000000002,2.1,6.3,0,1.5,2.3,0.8,0.6,1.1,379815.6,6.1,1.1
114,104,1,0,0,0,0.3,0.2,0,0.2,0.2,0,0.1,0,18375.2,0.5,0.1
114,105,2,0,0,0,0.6,0.4,0,0.4,0.4,0,0.2,0,36750.4,1,0.2
114,106,1,0,0,0,0.3,0.2,0,0.2,0.2,0,0.1,0,18375.2,0.5,0.1
114,107,4,0.1,0.1,0.1,1,0.5,0,0.9,0.7,0.1,0.5,0,73500.6,1.9,0.5
114,108,9.5,0.7,0.8,0,1.6,1.7,0.2,1.4,1.7,0.3,0.9,0.2,198571.7,3.8,0.5
114,109,5,0.4,0.4,0,0.8,0.9,0.1,0.7,0.9,0.2,0.5,0.1,104511.4,2,0.3
114,84,2,0,0,0.1,0.2,0.2,0,0.5,0.7,0.1,0.2,0,32390.8,1.3,0.7
115,121,7,0,1.2,0.2,0.5,1.9000000000000001,0.2,0.9,0.7,0.9,0.30000000000000004,0.2,112554.6,2.3,0.7
115,123,6,0.1,1.2000000000000002,0.5,0.6000000000000001,1.7999999999999998,0,0.4,0.6000000000000001,0.2,0.2,0.4,108518.79999999999,1.7999999999999998,0.4
115,124,5,0.1,1,0.4,0.5,1.5,0,0.3,0.6,0.2,0.1,0.3,90432.3,1.4,0.3
115,103,4,0.1,0.1,0.1,1,0.5,0,0.9,0.7,0.1,0.5,0,73500.6,1.9,0.5
115,126,4,0.1,0.8,0.3,0.4,1.2,0,0.3,0.4,0.2,0.1,0.2,72345.8,1.2,0.2
115,104,3,0.1,0.1,0,0.7,0.4,0,0.7,0.6,0,0.4,0,55125.5,1.4,0.4
115,106,4,0.1,0.1,0.1,1,0.5,0,0.9,0.7,0.1,0.5,0,73500.6,1.9,0.5
115,107,5,0.1,0.2,0.1,1.2,0.7,0,1.1,0.9,0.1,0.6,0,91875.8,2.4,0.6
115,119,5,0,0.9,0.1,0.4,1.4,0.1,0.7,0.5,0.6,0.2,0.1,80396.1,1.6,0.5
115,109,4,0.3,0.3,0,0.7,0.7,0.1,0.6,0.7,0.1,0.4,0.1,83609.1,1.6,0.2
115,71,1,0,0,0.1,0.1,0.1,0,0.2,0.3,0.1,0.1,0,16195.4,0.6,0.4
115,120,3,0,0.5,0.1,0.2,0.8,0.1,0.4,0.3,0.4,0.1,0.1,48237.7,1,0.3
116,110,4,0.3,0.3,0,0.7,0.7,0.1,0.6,0.7,0.1,0.4,0.1,83609.1,1.6,0.2
116,124,8,0.2,1.5,0.7,0.8,2.4,0,0.5,0.8999999999999999,0.30000000000000004,0.30000000000000004,0.4,144691.6,2.3,0.4
116,105,2,0.1,0.1,0,0.5,0.3,0,0.4,0.4,0,0.2,0,36750.3,0.9,0.2
116,106,2,0.1,0.1,0,0.5,0.3,0,0.4,0.4,0,0.2,0,36750.3,0.9,0.2
116,64,1,0.1,0,0,0.1,0.2,0.1,0.3,0.1,0,0.1,0,14449.9,0.4,0.1
116,120,5,0,0.8999999999999999,0.1,0.4,1.4000000000000001,0.1,0.6,0.5,0.6,0.30000000000000004,0.1,80396.1,1.6,0.5
90,99,29,1,1.7000000000000002,1,2.5,7.3,0.30000000000000004,6.2,4.8,1.7000000000000002,2.0999999999999996,0.4,511999.69999999995,13.400000000000002,3.1000000000000005
90,89,1,0.1,0.1,0.1,0.1,0.2,0,0.1,0.1,0,0.2,0,14145,0.4,0.2
90,120,1,0,0,0.1,0.3,0.2,0,0.2,0.1,0,0.1,0,19108.1,0.4,0.1
90,100,7,0.2,0.4,0.2,0.6,1.8,0.1,1.5,1.2,0.4,0.5,0.1,123586.1,3.2,0.8
90,101,14,1.1,0,0.4,2.5,4,0.30000000000000004,1.4,1.8,0.4,2.1,0,338482.6,5.3,0.7
90,114,12,0.2,2.2,0.4,1.4,2.8,0,2.6,0.2,0.6,1.2,0.4,197530,4.8,0.6
90,103,1,0,0,0.1,0,0.2,0,0.4,0.1,0,0.1,0.1,20077.3,0.4,0.1
90,104,2,0,0.1,0.1,0.1,0.5,0,0.7,0.1,0,0.2,0.2,40154.6,0.9,0.2
90,119,14,0.4,0.5,0.7999999999999999,4.2,2.2,0,2.5,1.5,0.2,1.7000000000000002,0,267513.5,5.9,1.5
90,108,3,0.2,0.3,0.1,0.7,0.5,0.1,0.4,0.4,0.2,0.1,0,62683.4,1.1,0.1
90,93,3,0.1,0.3,0.1,0.4,0.4,0,0.4,0.9,0.1,0.3,0,56171.5,1.5,0.4
90,94,3,0.1,0.30000000000000004,0,0.5,0.30000000000000004,0,0.4,0.8999999999999999,0.2,0.30000000000000004,0,56171.5,1.5,0.4
90,96,6,0.2,0.7,0.1,0.8,0.8,0,0.8,1.8,0.2,0.6,0,112343,3,0.8
90,85,10,0,2,1,0.7,2.6,0,1,2,0.2,0.5,0,164991.09999999998,3,1.2
90,97,5,0.1,0.5,0.1,0.8,0.6,0,0.6,1.5,0.30000000000000004,0.5,0,93619.2,2.5,0.6
90,98,9,0.2,0.6000000000000001,0.2,0.8,2.2,0.1,1.9,1.6,0.6000000000000001,0.7,0.1,158896.5,4.2,1
117,68,3,0.1,0,0.1,0.3,0.4,0.1,0.7,1,0.1,0.2,0,48586.2,1.9,1.1
117,69,2,0,0,0.1,0.2,0.2,0,0.5,0.7,0.1,0.2,0,32390.8,1.3,0.7
117,124,6,0,1,0.1,0.5,1.7,0.1,0.8,0.6,0.8,0.3,0.1,96475.3,1.9,0.6
117,125,4,0,0.7,0.1,0.3,1.1,0.1,0.5,0.4,0.5,0.2,0.1,64316.9,1.3,0.4
117,104,4,0.2,0.2,0,1,0.6,0,0.8,0.8,0,0.4,0,73500.6,1.8,0.4
117,71,2,0,0,0.1,0.2,0.2,0,0.5,0.7,0.1,0.2,0,32390.8,1.3,0.7
91,99,16,0.5,0.9000000000000001,0.5,1.2999999999999998,4,0.30000000000000004,3.5,2.7,0.9000000000000001,1.1,0.30000000000000004,282482.6,7.3999999999999995,1.7000000000000002
91,100,9,0.4,0.4,0.30000000000000004,1,2.3,0.2,1.6,1.4,0.4,0.9,0.1,178463,4,0.8
91,101,3,0.30000000000000004,0,0,0.6000000000000001,0.8999999999999999,0,0.30000000000000004,0.4,0,0.5,0,72532,1.2000000000000002,0.2
91,114,4,0,0.8,0.2,0.4,1,0,0.8,0,0.2,0.4,0.2,65843.4,1.6,0.2
91,116,8,0,1.1,0.30000000000000004,0.8,1.6,0,1.6,1.7,0.30000000000000004,0.30000000000000004,0.30000000000000004,142689.3,3.5,0.8
91,117,40,1,3,1.6,4.1,6.3,0,9.3,10.3,0.6,2.9000000000000004,0.8999999999999999,797388.3999999999,20.400000000000002,3.0999999999999996
91,118,9,0.30000000000000004,0.4,0.5,2.7,1.4000000000000001,0,1.6,0.8999999999999999,0.1,1.1,0,171972.90000000002,3.7,0.8999999999999999
91,92,3,0.2,0.3,0.2,0.4,0.6,0,0.3,0.5,0,0.5,0,42435,1.1,0.5
91,119,9,0.30000000000000004,0.30000000000000004,0.5,2.7,1.5,0,1.6,0.8999999999999999,0.1,1.1,0,171972.90000000002,3.8,0.8999999999999999
91,95,1,0,0.1,0,0.2,0.1,0,0.1,0.3,0.1,0.1,0,18723.8,0.5,0.1
91,96,24,0.7,2.7,0.30000000000000004,3.4,3,0,3.1,7.4,1,2.4,0,449372.19999999995,11.9,3.1
