x,y,val
12,93,181
52,0,419
29,9,79
11,164,46
43,17,271
18,130,1
9,124,1076
12,85,288
36,35,57
18,8,212
29,158,109
13,62,28
29,154,10
22,21,652
21,48,375
39,21,47
16,12,63
22,2,149
18,43,105
16,165,38
40,7,78
30,84,3
0,147,9
17,84,74
1,44,123
9,166,4
35,137,1079
17,34,62
24,117,55
20,178,38
24,54,208
22,135,97
12,114,31
15,92,212
50,128,135
22,153,51
40,139,2248
23,165,22
39,58,24
58,0,40
8,140,31
6,198,159
25,10,78
0,89,43
5,33,139
12,7,257
20,86,149
45,16,40
14,11,113
40,107,840
35,62,950
28,137,5
25,170,39
14,135,76
42,19,3051
31,142,16
12,145,46
30,29,183
14,149,90
34,25,63
22,142,129
2,169,1
4,139,60
7,208,67
35,102,53
24,175,23
5,210,19
36,145,110
13,22,128
36,60,67
19,59,65
22,52,349
9,216,23
16,97,60
24,139,85
29,85,6
46,119,133
36,146,67
19,110,1567
38,120,497
18,146,6
13,146,110
16,83,427
38,25,125
23,26,5
26,49,75
3,166,59
18,116,30
44,119,85
7,77,671
15,102,11
46,143,46
22,6,169
17,62,199
12,181,41
50,10,37
43,155,41
18,153,7
5,191,5
6,46,23
28,160,48
25,158,176
6,54,301
21,141,110
21,123,47
3,129,584
8,45,318
6,135,4
34,12,273
17,184,2875
30,40,28
9,78,541
19,94,1224
8,44,54
35,10,319
19,11,214
8,170,42
6,77,7733
32,146,6
16,135,88
2,89,128
54,6,1266
40,155,9
43,31,67
11,95,158
24,25,25
19,88,178
27,158,134
9,165,48
25,125,78
1,52,44
22,18,66
24,143,156
27,58,166
25,37,95
37,4,181
15,104,48
40,128,10
5,108,5
15,82,81
35,29,106
45,4,61
11,169,286
23,186,17
15,212,93
12,94,157
1,149,28
31,42,1155
39,126,53
36,55,306
18,94,2036
34,161,3
13,182,1
10,24,37
3,71,110
19,96,312
5,96,325
4,35,8
5,178,4
24,27,160
43,22,3
20,57,54
3,134,11
27,36,17
1,92,527
50,9,76
32,7,127
19,80,4
41,56,6
39,124,43
20,105,6
0,173,93
13,99,23
52,15,152
38,140,165
9,125,388
20,210,20
30,36,288
1,137,23
29,132,42
26,6,66
8,130,31
7,219,34
32,157,59
6,82,841
24,135,18
8,76,2805
13,150,2
17,149,102
22,100,32
24,130,63
24,100,16
8,109,61
2,72,49089
5,195,95
19,164,25
25,61,57
32,144,26
19,154,3
43,109,36
42,117,55
29,40,477
7,166,50
8,194,65
6,107,23
23,167,32
54,136,23
16,213,7
16,13,125
28,173,2
29,110,10
41,121,25
37,1,105
52,132,184
23,183,44
25,31,58
42,21,164
17,60,185
8,144,89
26,96,43
47,126,69
16,149,973
13,213,26
16,157,4
45,13,118
22,171,8
29,3,2038
11,118,60
2,151,97
43,134,263
16,148,456
32,102,967
32,131,45
4,112,125
21,47,97
35,119,136
22,165,63
44,20,174
19,95,82
1,82,14103
32,108,37
34,117,3
