x,y,Population
5590,1475,0
5595,1475,0
5600,1475,0
5605,1475,0
5610,1475,0
5615,1475,375
5620,1475,20
5625,1475,845
5630,1475,213
5635,1475,346
5640,1475,694
5645,1475,1270
5650,1475,0
5655,1475,634
5660,1475,531
5665,1475,1295
5670,1475,0
5675,1475,803
5680,1475,12
5685,1475,949
5690,1475,3151
5695,1475,998
5700,1475,393
5705,1475,963
5710,1475,451
5715,1475,870
5720,1475,525
5725,1475,970
5730,1475,361
5735,1475,207
5740,1475,23
5745,1475,421
5750,1475,691
5755,1475,2329
5760,1475,13991
5765,1475,280
5770,1475,880
5775,1475,0
5795,1475,0
5800,1475,0
1845,1480,0
1850,1480,0
5555,1480,130
5560,1480,91
5565,1480,228
5570,1480,139
5575,1480,285
5580,1480,168
5585,1480,11
5590,1480,35
5595,1480,0
5600,1480,0
5605,1480,0
5610,1480,0
5615,1480,178
5620,1480,39
5625,1480,925
5630,1480,1276
5635,1480,508
5640,1480,531
5645,1480,306
5650,1480,648
5655,1480,906
5660,1480,624
5665,1480,42
5670,1480,0
5675,1480,0
5680,1480,0
5685,1480,0
5690,1480,2283
5695,1480,1185
5700,1480,318
5705,1480,13
5710,1480,930
5715,1480,4783
5720,1480,1273
5725,1480,0
5730,1480,0
5735,1480,0
5740,1480,37
5745,1480,367
5750,1480,437
5755,1480,357
5760,1480,71
5765,1480,945
5770,1480,234
5775,1480,539
5780,1480,1971
5785,1480,102
5790,1480,334
5795,1480,0
5800,1480,0
1845,1485,0
1850,1485,0
5555,1485,53
5560,1485,1348
5565,1485,733
5570,1485,462
5575,1485,303
5580,1485,158
5585,1485,217
5590,1485,848
5595,1485,173
5600,1485,42
5605,1485,254
5610,1485,996
5615,1485,1606
5620,1485,1064
5625,1485,1526
5630,1485,1199
5635,1485,2734
5640,1485,1411
5645,1485,546
5650,1485,78
5655,1485,6
5660,1485,0
5665,1485,0
5670,1485,0
5675,1485,0
5680,1485,0
5685,1485,2094
5690,1485,1978
5695,1485,1263
5700,1485,1879
5705,1485,4492
5710,1485,1204
5715,1485,1880
5720,1485,525
5725,1485,696
5730,1485,719
5735,1485,788
5740,1485,18
5745,1485,0
5750,1485,478
5755,1485,1355
5760,1485,2
5765,1485,847
5770,1485,0
5775,1485,273
5780,1485,246
5785,1485,326
5790,1485,314
5795,1485,124
5800,1485,6
5805,1485,54
1845,1490,0
5555,1490,21
5560,1490,2424
5565,1490,4077
5570,1490,900
5575,1490,1674
5580,1490,436
5585,1490,1872
5590,1490,2039
5595,1490,128
5600,1490,333
5605,1490,670
5610,1490,1482
5615,1490,1720
5620,1490,171
5625,1490,0
5630,1490,14
5635,1490,5609
5640,1490,30334
5645,1490,4060
5650,1490,1852
5655,1490,937
5660,1490,1109
5665,1490,1074
5670,1490,3067
5675,1490,2428
5680,1490,789
5685,1490,0
5690,1490,1662
5695,1490,3783
5700,1490,3197
5705,1490,4720
5710,1490,2087
5715,1490,721
5720,1490,2105
5725,1490,493
5730,1490,697
5735,1490,836
5740,1490,15
5745,1490,81
5750,1490,2783
5755,1490,1465
5760,1490,0
5765,1490,0
5770,1490,678
5775,1490,179
5780,1490,98
5785,1490,270
5790,1490,355
5795,1490,394
5800,1490,4
5805,1490,28
5545,1495,0
5555,1495,0
5560,1495,0
5565,1495,0
5570,1495,627
5575,1495,3606
5580,1495,2932
5585,1495,3677
5590,1495,8698
5595,1495,29835
5600,1495,7791
5605,1495,483
5610,1495,1495
5615,1495,1166
5620,1495,0
5640,1495,0
5645,1495,102
5650,1495,2647
5655,1495,682
5660,1495,2235
5665,1495,612
5670,1495,742
5675,1495,773
5680,1495,493
5685,1495,351
5690,1495,1050
5695,1495,32583
5700,1495,70060
5705,1495,2652
5710,1495,1853
5715,1495,473
5720,1495,346
5725,1495,1117
5730,1495,147
5735,1495,0
5740,1495,131
5745,1495,569
5750,1495,1256
5755,1495,9334
5765,1495,0
5770,1495,232
5775,1495,918
5780,1495,599
5785,1495,371
5790,1495,323
5795,1495,98
5800,1495,681
5805,1495,34
5810,1495,0
1820,1500,0
1825,1500,0
5545,1500,0
5550,1500,0
5555,1500,0
5560,1500,0
5565,1500,0
5570,1500,520
5575,1500,60
5580,1500,0
5585,1500,0
5590,1500,1
5595,1500,36756
5600,1500,13095
5605,1500,3758
5610,1500,36
5615,1500,0
5620,1500,0
5650,1500,0
5655,1500,486
5660,1500,982
5665,1500,681
5670,1500,33
5675,1500,640
5680,1500,523
5685,1500,78
5690,1500,1681
5695,1500,9627
5700,1500,51312
5705,1500,1198
5710,1500,4608
5715,1500,3127
5720,1500,5619
5725,1500,2287
5730,1500,2857
5735,1500,1217
5740,1500,1852
5745,1500,2146
5750,1500,576
5755,1500,1919
5760,1500,0
5765,1500,0
5770,1500,0
5775,1500,30
5780,1500,13
5785,1500,838
5790,1500,8990
5795,1500,449
5800,1500,59
5805,1500,3
5810,1500,0
1810,1505,7929
1815,1505,28885
1820,1505,27893
1825,1505,8294
1830,1505,18
1835,1505,0
1840,1505,0
5550,1505,0
5555,1505,0
5560,1505,0
5565,1505,0
5570,1505,0
5575,1505,0
5595,1505,0
5600,1505,1744
5605,1505,363
5610,1505,113
5615,1505,0
5670,1505,0
5675,1505,0
5680,1505,0
5685,1505,523
5690,1505,435
5715,1505,0
5720,1505,14
5725,1505,0
5730,1505,0
5735,1505,116
5740,1505,333
5745,1505,80
5750,1505,243
5755,1505,252
5760,1505,0
5780,1505,55
5785,1505,20
5790,1505,927
5795,1505,19
5800,1505,992
5805,1505,177
5810,1505,0
1800,1510,0
1805,1510,2719
1810,1510,49004
1815,1510,48023
1820,1510,5443
1825,1510,5671
1830,1510,14533
1835,1510,3615
1840,1510,0
5565,1510,0
5570,1510,0
5595,1510,0
5600,1510,129
5605,1510,6
5610,1510,0
5700,1510,0
5705,1510,0
5710,1510,0
5740,1510,0
5745,1510,0
5750,1510,8
5755,1510,0
5795,1510,0
5800,1510,0
5805,1510,0
5810,1510,0
1795,1515,0
1800,1515,6292
1805,1515,8887
1810,1515,5725
1815,1515,0
1820,1515,406
1825,1515,3739
1830,1515,396
1835,1515,0
1840,1515,0
4495,1515,0
4500,1515,0
5565,1515,0
5570,1515,0
5700,1515,0
5705,1515,0
5710,1515,0
5790,1515,0
5795,1515,0
5800,1515,0
5805,1515,39
5810,1515,0
1790,1520,0
1795,1520,2977
1800,1520,5286
1805,1520,853
1810,1520,472
1815,1520,253
1820,1520,981
1825,1520,2778
1830,1520,0
4495,1520,647
4500,1520,397
4505,1520,3
4775,1520,7
4780,1520,0
5525,1520,0
5530,1520,0
5790,1520,0
5795,1520,0
5800,1520,0
5805,1520,0
1790,1525,868
1795,1525,5247
1800,1525,1
1805,1525,468
1810,1525,2332
1815,1525,1580
1820,1525,2934
1825,1525,381
1870,1525,0
1875,1525,0
3135,1525,0
3140,1525,0
4490,1525,75
4495,1525,949
4500,1525,1163
4505,1525,179
4740,1525,61
4745,1525,67
4750,1525,767
4755,1525,3
4760,1525,0
4765,1525,193
4770,1525,172
4775,1525,269
4780,1525,3799
4785,1525,0
5520,1525,0
5525,1525,68
5530,1525,0
5790,1525,0
5795,1525,0
1790,1530,2000
1795,1530,105
1800,1530,51
1805,1530,670
1810,1530,543
1815,1530,1076
1820,1530,0
1825,1530,0
1870,1530,0
1875,1530,2096
1880,1530,1572
1885,1530,0
3135,1530,0
3140,1530,0
4490,1530,23
4495,1530,4040
4500,1530,16
4505,1530,0
4720,1530,0
4725,1530,0
4730,1530,0
4735,1530,3438
4740,1530,2615
4745,1530,1291
4750,1530,334
4755,1530,18833
4760,1530,402
4765,1530,376
4770,1530,50
4775,1530,18751
4780,1530,2902
4785,1530,0
5515,1530,0
5520,1530,0
5525,1530,0
5850,1530,0
5855,1530,0
5860,1530,0
1785,1535,0
1790,1535,909
1795,1535,264
1800,1535,551
1805,1535,0
1870,1535,0
1875,1535,341
1880,1535,1474
1885,1535,0
4720,1535,271
4725,1535,2285
4730,1535,3640
4735,1535,480
4740,1535,17050
4745,1535,1124
4750,1535,1087
4755,1535,515
4760,1535,14064
4765,1535,51
4770,1535,69
4775,1535,129
4780,1535,51
5515,1535,0
5520,1535,0
5730,1535,0
5735,1535,0
5850,1535,0
5855,1535,0
5860,1535,0
1790,1540,0
1795,1540,626
1800,1540,624
1875,1540,0
1880,1540,0
1885,1540,0
4715,1540,0
4720,1540,282
4725,1540,7724
4730,1540,100
4735,1540,208
4740,1540,86
4745,1540,14734
4750,1540,11316
4755,1540,915
4760,1540,1827
4765,1540,19638
4770,1540,35
4775,1540,27
4780,1540,0
5520,1540,0
