x,y,Ind,Ind_0_3,Ind_11_17,Ind_18_24,Ind_25_39,Ind_40_54,Ind_4_5,Ind_55_64,Ind_65_79,Ind_6_10,Ind_80p,Ind_inc,Ind_snv,imputed
62,48,41,1.2,4.6,2.6,3.7,11.1,0.3,5.6,5.9,2.3,1.1,2.6,1039487.4,3
62,49,63,0.9,8.3,3.2,5.3,17,0.3,8,8.1,5,2.4,4.5,1533373.7,4
62,50,4,0.1,0.5,0.2,0.7,1,0,0.4,0.2,0.6,0.1,0.2,94452.3,1
63,19,3,0.1,0.3,0.1,0.5,0.6,0.1,0.5,0.2,0.5,0.1,0,49924.6,1
63,21,209.5,15.5,26.7,14.3,58,32.5,12,14.9,14.7,15.3,4.4,1.2,3033387.4,1
63,22,359,21,38,19,63,75,8,48,39,27,12,9,5968366.8,0
63,23,54,8,6.7,4.8,10.5,6.2,2,4.1,4.7,4.8,0.8,1.4,801500.3,1
63,24,245,10,17.5,19,43,29,5,31,54,7.5,27,2,5086835.9,2
63,25,1702.5,76.5,107,136.5,356,361,39.5,213,193,95,99,26,3.31398574E7,0
63,26,956,35,82.5,34,167,204,17.5,142,153,49,53,19,2.29741607E7,0
63,27,930,34,70.5,61.5,123,203,12.5,135,134,48.5,74,34,2.10975578E7,0
63,28,210,9,6.5,13.5,33,41,2,17,49,9,29,1,3657697.9,0
63,34,104,2,2,1,11,21,1,30,26,2,2,6,3167054,0
63,35,69,0.1,8.1,2.1,4.1,14.3,1.4,11.2,21.6,2.8,1.2,2.1,2317453,1
63,36,48,3,2,2.3,8.4,6.3,2,4.4,17.7,1.3,0.4,0.2,1613470.1,1
63,39,4,0.2,0.5,0.2,0.7,0.7,0,0.8,0.5,0.2,0.2,0,113787.4,1
63,40,64,1.5,7.1,3,7.9,10.5,0.4,12.9,12.2,3,3.1,2.4,1791791,3
63,41,82.5,1.3,10.2,7,13.7,21.5,1,9.8,1.4,9.3,4.1,3.2,2487099.5,2
63,43,20,0.8,2.6,0.7,2.9,4.6,0.1,3.1,2.7,1.1,0.8,0.6,585698,2
63,44,87,2.4,10.6,3.4,13.1,16.4,1,13.5,15.5,4.3,4.4,2.4,2537890.4,4
63,45,24,0.6,3,1.1,3.5,4.6,0.2,3.7,4.2,1.1,1.3,0.7,700107.7,4
63,48,2,0.1,0.2,0.3,0.4,0.5,0,0.3,0.1,0.1,0,0,51758.8,1
63,49,51.5,3,5.7,4.1,11.4,11.5,4,4.2,1.1,4.3,1.1,1.1,1262186.4,1
63,50,114.5,3.1,14.1,6.8,16.3,31.2,1.6,10.2,13.3,11.4,2.7,3.8,2801979,3
63,51,101.5,11.4,4.7,3.9,26.7,17.8,6.2,10.9,7.1,6.2,2.4,4.2,2602549,1
63,52,214,12,18,4,43,35,10,34,37,13,3,5,5879877.3,0
64,18,14,0.5,1.6,0.5,2.4,2.9,0.5,2.4,0.8,2.1,0.3,0,232981.6,1
64,19,275,14.8,25.4,16.8,53.5,43.3,9.8,45.6,22.2,28.2,12.4,3,4352346.6,1
64,20,15,0.5,1.8,0.6,2.5,3.1,0.5,2.5,0.9,2.3,0.3,0,249623.1,3
64,21,12,0,1.7,0.8,2.5,1.2,0,2.1,1.7,0.8,0.8,0.4,215256.1,1
64,22,859,77,75,84,179,145,22,97,67,65,22,26,13446388,0
64,23,1194.5,50,134,88,206,239,42,162,136,81.5,34,22,1.77964393E7,0
64,24,1346,78.5,117,94,258,206,48.5,171,178,84,84,27,2.23410809E7,0
64,25,1979,86.5,164,155,356,374,53.5,261,265,106,116,42,4.07843407E7,0
64,26,1084.5,51,100,64,199,228,35.5,154,109,68,51,25,2.31580475E7,0
64,27,794,32,69,34.5,143,142,20,133,96,46.5,63,15,1.89465579E7,0
64,28,482.5,15.5,35.5,30.7,75.9,110.8,6,71.3,60.9,26,32.9,17,1.18171479E7,1
64,31,7,0.2,1.2,0.3,0.9,1.6,0.2,1,0.7,0.5,0.4,0,158431.5,2
64,34,267,6.8,20.6,10.8,36.1,40.8,5.4,50,57.9,10,22.7,5.9,7829796.5,1
64,35,439,14.5,44,13,48,82,10,71,97,18.5,29,12,1.22931669E7,0
64,36,166,5,8.5,7.7,17.5,26.7,4,23.5,53.3,7.2,6.7,5.9,5240573.1,2
64,39,10,0.6,1.2,0.4,1.9,1.8,0.1,1.9,1.2,0.4,0.4,0.1,284468.5,2
64,40,31,1.7,3.7,1.3,5.8,5.5,0.4,5.9,3.7,1.3,1.3,0.4,881852.4,3
64,41,36,2.1,5,0.7,5,10.5,0,5.7,2.8,2.1,0.7,1.4,1060399.2,2
