x,y,0_15,0_5,100_,15_20,20_25,25_30,30_35,35_40,40_45,45_50,50_55,55_60,5_10,60_65,65_70,70_75,75_80,80_85,85_90,90_95,95_100,f,m,pop
94,21,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,5,8
95,0,3,3,0,0,0,3,3,3,4,0,0,6,6,0,6,3,0,0,0,0,0,19,28,47
95,4,3,0,0,0,3,0,0,0,0,3,3,0,0,3,0,3,3,0,0,0,0,6,10,16
95,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,20,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0
95,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
95,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,3
96,1,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3
96,2,3,0,0,3,0,0,0,0,3,4,0,0,0,3,5,0,0,0,0,0,0,11,13,24
96,3,3,0,0,3,0,3,3,0,0,0,0,0,0,3,6,6,6,0,0,0,0,10,17,27
96,4,29,23,0,29,23,24,16,22,25,13,37,25,27,33,27,51,33,26,19,12,4,240,251,491
96,5,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,6,0,0,0,0,0,3,4,7
96,6,0,0,0,0,0,0,0,0,0,0,3,3,0,6,3,0,3,0,3,0,0,6,9,15
96,7,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6,7,13
96,8,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,6,6,12
96,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3
96,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,6,6,12
96,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
96,49,3,0,0,0,0,0,3,0,3,6,3,3,0,0,3,3,0,0,0,0,0,8,11,19
97,2,0,0,0,0,3,0,3,0,3,3,9,6,0,3,3,11,5,3,0,0,0,20,28,48
97,3,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,6,9
97,4,0,0,0,3,3,0,3,0,3,0,0,3,0,3,0,3,3,0,0,0,0,8,11,19
97,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,9,12,21
97,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,0,0,0,0,3,7,11,18
