X_MIN;Y_MIN;TOT_P
5034000;4972000;66
5044000;4972000;5
5064000;4972000;121
5084000;4972000;10
5094000;4972000;33
5104000;4972000;76
5114000;4972000;60
5124000;4972000;121
5134000;4972000;133
5144000;4972000;16
2824000;4962000;5
2834000;4962000;2
3044000;4962000;37
3074000;4962000;2
3104000;4962000;364
3114000;4962000;15
3214000;4962000;99
4524000;4962000;479
4534000;4962000;678
4544000;4962000;133
4554000;4962000;1
4564000;4962000;129
4574000;4962000;3
4634000;4962000;9
4744000;4962000;83
4754000;4962000;22
4794000;4962000;190
4824000;4962000;7
4834000;4962000;61
4844000;4962000;9
4854000;4962000;215
4864000;4962000;56
4874000;4962000;15
4884000;4962000;26
4894000;4962000;17
4904000;4962000;106
4914000;4962000;682
4924000;4962000;162
4934000;4962000;65
4954000;4962000;112
4964000;4962000;122
4974000;4962000;48
4984000;4962000;22
4994000;4962000;81
5004000;4962000;2
5024000;4962000;15
5034000;4962000;79
5064000;4962000;82
5074000;4962000;184
5084000;4962000;9
5094000;4962000;34
5104000;4962000;48
5124000;4962000;215
5134000;4962000;1941
5144000;4962000;4
5154000;4962000;72
2824000;4952000;1
2834000;4952000;19
2844000;4952000;160
2854000;4952000;1
2864000;4952000;4
2874000;4952000;1
2934000;4952000;1
2944000;4952000;5
3094000;4952000;6
4434000;4952000;179
4524000;4952000;17
4534000;4952000;68
4564000;4952000;28
4574000;4952000;39
4784000;4952000;10
4794000;4952000;208
4814000;4952000;36
4824000;4952000;33
4844000;4952000;71
4854000;4952000;11
4864000;4952000;61
4874000;4952000;37
4884000;4952000;214
4894000;4952000;2049
4904000;4952000;134
4914000;4952000;24
4924000;4952000;399
4934000;4952000;26
4944000;4952000;77
4954000;4952000;17
4964000;4952000;5
4974000;4952000;59
4984000;4952000;4
4994000;4952000;22
5004000;4952000;10
5014000;4952000;16
5024000;4952000;33
5054000;4952000;37
5064000;4952000;7
5074000;4952000;103
5084000;4952000;66
5104000;4952000;26
5114000;4952000;237
5134000;4952000;34
5144000;4952000;6
5154000;4952000;22
5164000;4952000;10
2824000;4942000;3
2834000;4942000;1874
2844000;4942000;1384
2854000;4942000;56
2874000;4942000;8
3134000;4942000;1
4434000;4942000;543
4524000;4942000;21
4534000;4942000;7
4544000;4942000;2
4554000;4942000;82
4564000;4942000;96
4574000;4942000;4
4784000;4942000;241
4794000;4942000;14
4814000;4942000;60
4824000;4942000;104
4844000;4942000;20
4854000;4942000;8
4864000;4942000;414
4884000;4942000;57
4894000;4942000;76
4904000;4942000;43
4914000;4942000;39
4924000;4942000;108
4944000;4942000;25
4954000;4942000;11
4974000;4942000;17
4984000;4942000;107
4994000;4942000;3
5014000;4942000;2
5024000;4942000;54
5074000;4942000;708
5084000;4942000;1694
5094000;4942000;46
5104000;4942000;135
5114000;4942000;29
5124000;4942000;4
5144000;4942000;1
5154000;4942000;39
5164000;4942000;3
2824000;4932000;1356
2834000;4932000;208
2844000;4932000;1
2854000;4932000;2
3184000;4932000;2
3194000;4932000;663
4404000;4932000;602
4524000;4932000;299
4534000;4932000;8
4544000;4932000;10
4554000;4932000;432
4564000;4932000;32
4704000;4932000;7
4754000;4932000;3
4764000;4932000;6
4784000;4932000;867
4794000;4932000;39
4814000;4932000;57
4824000;4932000;10
4834000;4932000;24
4844000;4932000;5
4864000;4932000;37
4884000;4932000;3
4894000;4932000;305
4904000;4932000;46
4914000;4932000;136
4924000;4932000;99
4934000;4932000;28
4974000;4932000;67
4984000;4932000;132
4994000;4932000;154
5004000;4932000;14
5014000;4932000;7
5024000;4932000;57
5034000;4932000;48
5054000;4932000;2
5064000;4932000;41
5074000;4932000;77
5084000;4932000;3976
5094000;4932000;414
5104000;4932000;65
5114000;4932000;12
5134000;4932000;80
5144000;4932000;61
5154000;4932000;176
5164000;4932000;26
5174000;4932000;4
2814000;4922000;402
2824000;4922000;4892
2834000;4922000;287
2844000;4922000;132
2854000;4922000;113
3184000;4922000;1
3214000;4922000;4
4394000;4922000;1
4484000;4922000;96
4504000;4922000;50
4514000;4922000;552
4524000;4922000;110
4544000;4922000;254
4554000;4922000;1094
4564000;4922000;169
4574000;4922000;2
4674000;4922000;13
4774000;4922000;1863
4784000;4922000;12345
4794000;4922000;92
4804000;4922000;83
4814000;4922000;160
4824000;4922000;11
4834000;4922000;125
4844000;4922000;1
4854000;4922000;16
4864000;4922000;152
4874000;4922000;11
4884000;4922000;36
4894000;4922000;14
4904000;4922000;3
4914000;4922000;40
4924000;4922000;139
4934000;4922000;105
4944000;4922000;79
4954000;4922000;84
4964000;4922000;57
4974000;4922000;17
4984000;4922000;9
4994000;4922000;166
