X_MIN000;Y_MIN000;TOT_P
3294000;3279000;2
3294000;3280000;158
3294000;3281000;208
3294000;3282000;14
3294000;3283000;380
3294000;3284000;51
3294000;3285000;27
3294000;3286000;37
3294000;3287000;12
3294000;3288000;465
3294000;3289000;728
3294000;3290000;52
3294000;3291000;55
3294000;3292000;10
3294000;3293000;311
3294000;3295000;42
3294000;3296000;13
3294000;3298000;46
3294000;3299000;53
3294000;3300000;59
3294000;3302000;17
3294000;3303000;181
3294000;3304000;21
3294000;3308000;6
3294000;3310000;84
3294000;3311000;28
3294000;3312000;5
3294000;3313000;14
3294000;3314000;49
3294000;3315000;5
3294000;3316000;20
3294000;3317000;3
3295000;3273000;44
3295000;3274000;15
3295000;3275000;16
3295000;3276000;15
3295000;3277000;83
3295000;3278000;144
3295000;3279000;56
3295000;3280000;2330
3295000;3281000;1796
3295000;3283000;1803
3295000;3284000;125
3295000;3285000;8
3295000;3286000;475
3295000;3287000;30
3295000;3289000;21
3295000;3292000;726
3295000;3293000;2817
3295000;3294000;605
3295000;3297000;13
3295000;3298000;147
3295000;3299000;79
3295000;3301000;33
3295000;3302000;4
3295000;3304000;2
3295000;3305000;20
3295000;3307000;30
3295000;3308000;5
3295000;3311000;4
3295000;3312000;23
3295000;3314000;29
3295000;3315000;26
3295000;3316000;31
3295000;3317000;7
3295000;3318000;16
3296000;3274000;141
3296000;3276000;8
3296000;3277000;85
3296000;3278000;143
3296000;3279000;1409
3296000;3280000;1129
3296000;3281000;3109
3296000;3282000;337
3296000;3283000;1380
3296000;3284000;77
3296000;3285000;22
3296000;3286000;20
3296000;3287000;30
3296000;3288000;32
3296000;3289000;298
3296000;3290000;88
3296000;3291000;263
3296000;3292000;2058
3296000;3293000;3342
3296000;3294000;1512
3296000;3295000;73
3296000;3296000;17
3296000;3297000;20
3296000;3299000;5
3296000;3300000;22
3296000;3301000;21
3296000;3302000;6
3296000;3303000;23
3296000;3304000;13
3296000;3305000;3
3296000;3306000;26
3296000;3307000;7
3296000;3308000;29
3296000;3309000;17
3296000;3313000;34
3296000;3314000;5
3296000;3315000;24
3296000;3317000;4
3296000;3318000;31
3297000;3273000;13
3297000;3275000;21
3297000;3277000;67
3297000;3278000;1763
3297000;3279000;2255
3297000;3280000;508
3297000;3281000;273
3297000;3282000;192
3297000;3283000;22
3297000;3284000;22
3297000;3285000;20
3297000;3286000;134
3297000;3287000;25
3297000;3289000;252
3297000;3291000;25
3297000;3292000;104
3297000;3293000;935
3297000;3294000;1616
3297000;3295000;134
3297000;3296000;38
3297000;3297000;12
3297000;3298000;15
3297000;3301000;18
3297000;3304000;17
3297000;3306000;8
3297000;3307000;625
3297000;3308000;93
3297000;3310000;8
3297000;3311000;31
3297000;3312000;15
3297000;3313000;22
3297000;3314000;12
3297000;3316000;7
3297000;3317000;20
3298000;3276000;9
3298000;3277000;32
3298000;3278000;1643
3298000;3279000;105
3298000;3280000;22
3298000;3282000;29
3298000;3283000;108
3298000;3284000;167
3298000;3285000;302
3298000;3286000;143
3298000;3288000;432
3298000;3289000;126
3298000;3290000;19
3298000;3291000;21
3298000;3292000;46
3298000;3293000;19
3298000;3295000;481
3298000;3296000;31
3298000;3297000;10
3298000;3298000;27
3298000;3299000;5
3298000;3300000;27
3298000;3301000;134
3298000;3303000;33
3298000;3304000;210
3298000;3305000;2
3298000;3306000;34
3298000;3307000;418
3298000;3308000;13
3298000;3309000;13
3298000;3310000;2
3298000;3311000;23
3298000;3312000;315
3298000;3313000;3
3298000;3314000;21
3298000;3315000;178
3298000;3316000;74
3298000;3317000;29
3299000;3274000;62
3299000;3275000;8
3299000;3276000;26
3299000;3277000;3
3299000;3278000;37
3299000;3279000;46
3299000;3280000;136
3299000;3281000;197
3299000;3283000;38
3299000;3285000;84
3299000;3286000;477
3299000;3287000;291
3299000;3288000;107
3299000;3289000;148
3299000;3290000;10
3299000;3292000;16
3299000;3295000;60
3299000;3296000;132
3299000;3297000;37
3299000;3300000;92
3299000;3301000;13
3299000;3302000;10
3299000;3303000;18
3299000;3304000;17
3299000;3305000;8
3299000;3306000;21
3299000;3307000;48
3299000;3308000;16
3299000;3309000;28
3299000;3310000;41
3299000;3312000;74
3299000;3313000;11
3299000;3314000;42
3299000;3315000;771
3299000;3316000;828
3299000;3317000;25
3300000;3275000;211
3300000;3277000;439
3300000;3278000;11
3300000;3279000;18
3300000;3280000;89
3300000;3281000;233
3300000;3282000;35
3300000;3283000;18
3300000;3286000;22
3300000;3290000;5
3300000;3291000;15
3300000;3293000;17
3300000;3294000;44
3300000;3296000;11
3300000;3297000;36
3300000;3298000;13
3300000;3300000;267
3300000;3301000;64
3300000;3302000;6
3300000;3303000;13
3300000;3305000;44
3300000;3307000;21
3300000;3309000;21
3300000;3310000;145
3300000;3313000;25
3300000;3314000;2349
3300000;3315000;855
3300000;3316000;195
3301000;3276000;61
3301000;3278000;13
3301000;3279000;41
3301000;3280000;9
3301000;3281000;13
3301000;3283000;6
3301000;3284000;78
3301000;3285000;22
3301000;3286000;11
3301000;3288000;58
3301000;3289000;9
3301000;3290000;19
3301000;3291000;25
3301000;3292000;15
3301000;3293000;35
3301000;3295000;8
3301000;3297000;12
3301000;3299000;41
3301000;3302000;39
3301000;3304000;51
3301000;3305000;17
3301000;3306000;87
3301000;3307000;4
3301000;3309000;64
3301000;3311000;14
3301000;3312000;21
3301000;3314000;182
3302000;3275000;22
3302000;3277000;13
3302000;3278000;17
3302000;3279000;88
3302000;3281000;6
3302000;3284000;5
3302000;3285000;9
3302000;3286000;4
3302000;3287000;30
3302000;3288000;21
3302000;3292000;5
3302000;3294000;17
3302000;3295000;5
3302000;3296000;16
3302000;3297000;13
3302000;3298000;16
3302000;3299000;11
3302000;3300000;12
3302000;3301000;6
3302000;3303000;10
3302000;3305000;10
3302000;3306000;23
3302000;3309000;14
3302000;3310000;13
3302000;3313000;18
3302000;3314000;25
3303000;3275000;5
3303000;3276000;51
3303000;3277000;1
3303000;3279000;151
3303000;3280000;16
3303000;3282000;45
3303000;3284000;9
3303000;3285000;9
3303000;3286000;9
3303000;3287000;45
3303000;3288000;12
3303000;3291000;8
3303000;3293000;26
3303000;3294000;8
3303000;3295000;79
3303000;3297000;339
3303000;3298000;11
3303000;3299000;17
3303000;3301000;24
3303000;3302000;128
3303000;3304000;8
3303000;3306000;4
3303000;3307000;7
3303000;3310000;12
3303000;3311000;14
3303000;3312000;61
3303000;3313000;4
3303000;3314000;17
3303000;3315000;12
3304000;3274000;102
3304000;3275000;371
3304000;3276000;26
3304000;3277000;7
3304000;3278000;6
3304000;3279000;593
3304000;3280000;187
3304000;3281000;160
3304000;3282000;74
3304000;3283000;35
3304000;3284000;15
3304000;3285000;10
3304000;3286000;4
3304000;3287000;76
3304000;3289000;8
3304000;3290000;12
3304000;3292000;22
3304000;3294000;79
3304000;3295000;17
3304000;3296000;8
3304000;3297000;16
3304000;3298000;5
3304000;3299000;4
3304000;3300000;149
3304000;3301000;5
3304000;3302000;32
3304000;3303000;3
3304000;3304000;10
3304000;3306000;159
3304000;3307000;17
3304000;3311000;4
3304000;3313000;1
3304000;3314000;73
3304000;3315000;16
3305000;3273000;140
3305000;3274000;402
3305000;3275000;21
3305000;3276000;11
3305000;3278000;2
3305000;3279000;7
3305000;3281000;17
3305000;3282000;62
3305000;3283000;2
3305000;3285000;5
3305000;3287000;25
3305000;3291000;14
3305000;3292000;18
3305000;3293000;11
3305000;3295000;23
3305000;3296000;14
3305000;3298000;28
3305000;3302000;50
3305000;3303000;34
3305000;3305000;19
3305000;3306000;14
3305000;3307000;23
3305000;3310000;16
3305000;3311000;20
3305000;3312000;4
3305000;3313000;11
3305000;3314000;13
3305000;3315000;166
3306000;3274000;167
3306000;3275000;4
3306000;3276000;76
3306000;3277000;283
3306000;3279000;14
3306000;3280000;16
3306000;3281000;8
3306000;3282000;67
3306000;3283000;19
3306000;3285000;15
3306000;3287000;10
3306000;3289000;8
3306000;3290000;10
3306000;3292000;12
3306000;3293000;2
3306000;3296000;9
3306000;3297000;23
3306000;3298000;12
3306000;3299000;19
3306000;3300000;27
3306000;3302000;16
3306000;3304000;6
3306000;3305000;1
3306000;3308000;9
3306000;3309000;1
3306000;3310000;14
3306000;3311000;13
3306000;3314000;11
3306000;3315000;276
3306000;3316000;176
3307000;3273000;8
3307000;3274000;4
3307000;3276000;11
3307000;3277000;349
3307000;3278000;24
3307000;3279000;8
3307000;3280000;114
3307000;3281000;30
3307000;3284000;27
3307000;3285000;15
3307000;3286000;32
3307000;3287000;10
3307000;3288000;8
3307000;3290000;3
3307000;3291000;17
3307000;3293000;21
3307000;3294000;12
3307000;3295000;12
3307000;3296000;23
3307000;3297000;15
3307000;3298000;8
3307000;3300000;6
3307000;3301000;37
3307000;3302000;13
3307000;3303000;26
3307000;3304000;37
3307000;3305000;12
3307000;3306000;9
3307000;3309000;18
3307000;3310000;25
3307000;3311000;8
3307000;3312000;3
3307000;3314000;9
3307000;3315000;26
3307000;3316000;18
3308000;3274000;32
3308000;3276000;15
3308000;3277000;19
3308000;3278000;11
3308000;3280000;21
3308000;3281000;16
3308000;3282000;238
3308000;3283000;25
3308000;3284000;10
3308000;3285000;6
3308000;3288000;26
3308000;3289000;7
3308000;3290000;15
3308000;3291000;27
3308000;3292000;77
3308000;3293000;118
3308000;3294000;20
3308000;3295000;10
3308000;3297000;28
3308000;3299000;13
3308000;3300000;4
3308000;3301000;17
3308000;3302000;15
3308000;3303000;5
3308000;3304000;10
3308000;3307000;12
3308000;3314000;21
3308000;3315000;37
3309000;3274000;209
3309000;3275000;34
3309000;3276000;35
3309000;3278000;19
3309000;3279000;28
3309000;3280000;145
3309000;3281000;392
3309000;3283000;19
3309000;3284000;151
3309000;3285000;20
3309000;3287000;31
3309000;3291000;116
3309000;3292000;7
3309000;3293000;34
3309000;3295000;15
3309000;3296000;4
3309000;3297000;12
3309000;3298000;20
3309000;3301000;116
3309000;3306000;3
3309000;3309000;29
3309000;3311000;8
3309000;3314000;41
3309000;3315000;60
3310000;3274000;152
3310000;3275000;405
3310000;3276000;686
3310000;3280000;504
3310000;3281000;24
3310000;3283000;52
3310000;3284000;52
3310000;3285000;10
3310000;3287000;16
3310000;3288000;18
3310000;3289000;21
3310000;3291000;32
3310000;3292000;30
3310000;3293000;77
3310000;3295000;38
3310000;3297000;8
3310000;3298000;51
3310000;3299000;9
3310000;3300000;13
3310000;3302000;55
3310000;3303000;58
3310000;3304000;22
3310000;3305000;88
3310000;3310000;16
3310000;3312000;12
3310000;3314000;33
3310000;3315000;753
3311000;3275000;1560
3311000;3276000;1920
3311000;3277000;335
3311000;3278000;187
3311000;3279000;103
3311000;3280000;96
3311000;3281000;665
3311000;3282000;441
3311000;3283000;190
3311000;3285000;7
3311000;3286000;243
3311000;3287000;297
3311000;3288000;68
3311000;3289000;278
3311000;3290000;985
3311000;3291000;2
3311000;3292000;15
3311000;3293000;21
3311000;3294000;6
3311000;3295000;5
3311000;3296000;8
3311000;3297000;3
3311000;3298000;4
3311000;3299000;7
3311000;3301000;40
3311000;3303000;251
3311000;3305000;65
3311000;3310000;3
3311000;3311000;12
3311000;3314000;105
3311000;3315000;27
3311000;3316000;15
3311000;3317000;11
3312000;3271000;34
3312000;3275000;389
3312000;3276000;45
3312000;3278000;121
3312000;3279000;1196
3312000;3280000;1199
3312000;3281000;133
3312000;3282000;1086
3312000;3283000;64
3312000;3284000;3
3312000;3285000;8
3312000;3286000;23
3312000;3287000;65
3312000;3288000;164
3312000;3289000;130
3312000;3290000;913
3312000;3291000;9
3312000;3292000;11
3312000;3293000;11
3312000;3294000;31
3312000;3296000;44
3312000;3298000;12
3312000;3299000;47
3312000;3300000;31
3312000;3302000;14
3312000;3303000;13
3312000;3304000;7
3312000;3311000;22
3312000;3312000;37
3312000;3313000;20
3312000;3314000;3
