x,y,dlt,tcd
49,126,,17
49,127,,25
50,49,,152
50,50,,75
50,51,,15
50,52,1,29
50,53,,29
50,54,,20
50,55,,8
50,56,,33
50,58,,3
50,59,,31
50,60,,5
50,62,,19
50,65,,28
50,66,,18
50,67,,13
50,68,,27
50,69,,10
50,70,,11
50,71,,15
50,72,,1
50,73,1,15
50,74,,25
50,78,,38
50,79,,12
50,80,,6
50,81,,5
50,83,1,3
50,84,,11
50,86,,18
50,87,,2
50,88,,14
50,89,,22
50,90,,15
50,91,,22
50,92,,8
50,93,,23
50,94,,2
50,97,,23
50,98,,12
50,99,,26
50,102,1,
50,103,1,32
50,108,,20
50,109,,36
50,110,,38
50,111,,39
50,112,,25
50,114,1,10
50,115,,27
50,119,,5
50,120,,6
50,121,,14
50,122,,43
50,123,,42
50,124,,42
50,125,,14
51,38,,211
51,39,,179
51,40,,229
51,48,,173
51,49,,21
51,51,,6
51,52,,20
51,53,,1
51,54,,2
51,55,,1
51,56,,4
51,59,,2
51,60,,39
51,61,,38
51,62,,3
51,65,,35
51,68,,2
51,74,,2
51,76,,10
51,77,,51
51,78,,9
51,79,,22
51,80,,1
51,82,1,20
51,83,,52
51,85,,5
51,86,,35
51,87,,19
51,88,,28
51,90,,3
51,91,,15
51,93,,25
51,94,,4
51,95,,13
51,97,,4
51,98,,19
51,99,,7
51,101,,15
51,102,,41
51,103,,21
51,104,,27
51,105,,9
51,109,,16
51,110,,26
51,111,,11
51,112,,17
51,113,,69
51,115,,7
51,116,,23
51,117,,24
51,118,1,17
51,119,,7
51,120,,8
51,121,,9
51,122,1,43
51,123,,3
51,124,,5
51,125,,2
51,126,,15
51,127,,21
52,36,,253
52,37,,111
52,38,,37
52,39,,1
52,40,,170
52,48,,177
52,49,,26
52,51,,6
52,52,,48
52,53,,30
52,55,,32
52,56,,1
52,57,,35
52,58,,13
52,59,,1
52,60,,18
52,61,,16
52,62,,3
52,63,1,25
52,64,1,24
52,65,,29
52,70,1,1
52,72,,1
52,75,,22
52,76,,8
52,78,,30
52,80,,19
52,82,1,14
52,83,,56
52,85,,6
52,86,,11
52,87,,44
52,88,,22
52,89,,25
52,91,,24
52,92,,26
52,93,,1
52,95,,15
52,96,,12
52,97,,40
52,98,,22
52,99,,6
52,101,,4
52,102,,22
52,103,,21
52,104,,1
52,105,,11
52,107,,1
52,109,,16
52,110,1,72
52,111,,29
52,112,,32
52,113,,22
52,114,,32
52,115,,3
52,116,,11
52,117,,17
52,119,,8
52,120,,10
52,121,,53
52,122,,49
53,35,,241
53,36,,79
53,37,,32
53,39,,93
