,IDENTIFIER,TOTAL,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
,1kmN2195E5013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,1kmN2196E5003,4,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2196E5004,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,1kmN2196E5010,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2196E5012,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2196E5013,4,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0
,1kmN2197E5001,7,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0
,1kmN2197E5002,12,0,0,0,0,1,0,3,1,1,2,0,0,0,0,0,0,0,1,3,0
,1kmN2197E5003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,1kmN2197E5009,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,1kmN2197E5010,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,1kmN2197E5012,7,0,0,0,0,0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0
,1kmN2197E5013,6,0,0,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0
,1kmN2198E4998,3,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
,1kmN2198E4999,4,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
,1kmN2198E5000,19,0,0,2,0,0,0,3,1,3,0,1,2,2,1,0,0,0,3,1,0
,1kmN2198E5001,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2198E5002,5,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
,1kmN2198E5005,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2198E5006,11,2,0,1,0,0,0,1,1,2,1,0,0,0,1,0,0,0,1,1,0
,1kmN2198E5007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,1kmN2198E5008,4,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
,1kmN2198E5012,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2199E4997,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,1kmN2199E4998,10,0,0,0,1,0,2,0,0,4,0,0,1,0,1,0,0,0,0,1,0
,1kmN2199E4999,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,1kmN2200E4995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,1kmN2200E4996,85,0,0,1,0,0,13,10,4,23,0,0,8,5,5,1,3,0,6,6,0
,1kmN2200E4997,5,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0
,1kmN2200E4998,20,0,0,0,0,0,6,3,0,2,0,0,2,1,4,0,0,0,0,2,0
,1kmN2200E5000,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
,1kmN2200E5001,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2200E5002,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
,1kmN2200E5004,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2201E4995,5,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0
,1kmN2201E4996,14,0,0,0,0,0,3,5,0,0,0,0,2,0,0,0,1,0,0,3,0
,1kmN2201E4997,14,0,0,1,0,0,3,0,2,2,0,0,0,1,4,0,0,0,0,1,0
,1kmN2203E4996,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
,1kmN2203E4997,5,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0
,1kmN2204E4995,5,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0
,1kmN2204E4996,4,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0
,1kmN2205E4988,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
,1kmN2205E4991,21,0,0,0,0,0,2,5,3,3,1,0,0,2,3,0,0,0,1,1,0
,1kmN2205E4992,15,0,0,2,0,0,5,2,0,3,0,0,0,0,3,0,0,0,0,0,0
,1kmN2205E4993,56,0,0,3,0,1,10,8,2,6,2,0,3,5,4,1,0,0,2,9,0
,1kmN2205E4994,61,2,0,1,1,1,7,14,4,9,2,0,5,1,4,0,2,1,4,3,0
,1kmN2205E4995,8,0,0,2,0,0,2,1,0,1,0,0,0,1,1,0,0,0,0,0,0
,1kmN2206E4983,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
,1kmN2206E4984,41,0,0,1,0,0,1,7,3,2,1,0,1,4,2,0,1,0,13,5,0
,1kmN2206E4985,54,0,0,1,0,0,1,6,1,7,2,0,9,6,12,0,0,3,1,5,0
,1kmN2206E4986,291,1,0,9,0,1,15,44,11,46,6,0,20,31,26,4,6,8,19,44,0
,1kmN2206E4987,75,0,0,3,0,0,5,10,5,9,1,0,1,11,12,0,4,2,3,9,0
,1kmN2206E4988,18,1,0,0,0,0,1,5,0,1,0,0,2,1,4,0,0,0,0,3,0
,1kmN2206E4989,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2206E4990,7,0,0,0,0,0,1,0,2,3,0,0,0,0,1,0,0,0,0,0,0
,1kmN2206E4991,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
,1kmN2206E4992,14,0,0,0,0,1,3,0,1,2,0,0,2,0,2,0,0,1,1,1,0
,1kmN2206E4993,25,0,0,2,0,0,5,1,3,6,1,0,0,3,3,0,0,0,1,0,0
,1kmN2207E4880,7,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0
,1kmN2207E4982,5,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0
,1kmN2207E4983,169,1,0,4,1,0,7,26,10,26,14,0,11,29,15,0,3,0,7,15,0
,1kmN2207E4984,313,3,0,14,0,0,37,61,16,29,6,1,16,55,26,0,5,13,8,23,0
,1kmN2207E4985,473,0,1,20,5,3,47,103,18,39,17,1,30,67,34,8,7,7,26,40,0
,1kmN2207E4986,17,0,0,2,0,0,2,1,2,5,1,0,0,1,1,0,0,0,1,1,0
,1kmN2207E4989,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
,1kmN2207E4990,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2207E4991,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,1kmN2207E4993,5,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0
,1kmN2208E4978,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,1kmN2208E4982,8,0,0,0,0,0,0,3,0,4,0,0,0,1,0,0,0,0,0,0,0
,1kmN2208E4983,106,0,0,4,0,0,12,30,5,8,5,1,3,16,7,0,0,5,4,6,0
,1kmN2208E4984,153,0,0,12,0,0,12,18,14,17,8,1,4,25,22,0,2,3,6,9,0
,1kmN2208E4985,24,0,0,5,0,0,2,2,3,2,2,0,0,2,3,0,0,0,0,3,0
,1kmN2208E4988,4,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
,1kmN2208E4989,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2208E4992,6,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
,1kmN2208E4993,4,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
,1kmN2209E4880,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
,1kmN2209E4955,5,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0
,1kmN2209E4972,5,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0
,1kmN2209E4977,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,1kmN2209E4978,5,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0
,1kmN2209E4983,6,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0
,1kmN2209E4984,4,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
,1kmN2209E4985,14,0,0,1,0,0,0,4,2,3,0,0,0,1,2,0,0,0,0,1,0
,1kmN2209E4987,10,0,0,1,0,0,1,1,1,1,0,0,0,1,2,0,0,0,0,2,0
,1kmN2209E4988,8,0,0,0,0,1,1,2,1,0,0,0,0,1,0,0,0,0,1,1,0
,1kmN2209E4989,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2210E4884,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
,1kmN2210E4885,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2210E4886,22,1,0,3,0,1,1,2,0,2,0,0,0,2,1,2,2,0,0,5,0
,1kmN2210E4953,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,1kmN2210E4972,13,0,0,1,0,0,0,3,3,3,0,0,0,0,2,0,0,0,0,1,0
,1kmN2210E4980,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,1kmN2210E4981,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2210E4982,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,1kmN2210E4983,7,0,0,0,0,1,0,2,0,1,2,0,0,1,0,0,0,0,0,0,0
,1kmN2210E4984,17,0,0,0,0,1,4,2,3,2,0,0,0,1,0,0,0,0,1,3,0
,1kmN2210E4985,58,0,0,4,0,0,9,11,1,7,4,0,3,6,3,0,1,0,1,8,0
,1kmN2210E4986,120,0,0,1,0,0,14,31,14,10,9,0,2,12,15,0,0,1,2,9,0
,1kmN2210E4987,6,0,0,0,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
,1kmN2210E4988,7,0,0,1,0,0,1,0,1,2,0,0,1,1,0,0,0,0,0,0,0
,1kmN2211E4884,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,1kmN2211E4940,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2211E4978,62,0,0,0,0,0,2,1,0,49,1,0,5,1,1,0,0,0,1,1,0
,1kmN2211E4979,7,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0
,1kmN2211E4980,19,0,0,0,0,0,5,1,1,3,1,0,3,1,1,0,0,0,0,3,0
,1kmN2211E4981,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
,1kmN2212E4939,13,1,0,0,0,2,0,0,0,1,1,0,0,0,2,2,1,0,0,3,0
,1kmN2212E4943,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2212E4944,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,1kmN2212E4947,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,1kmN2212E4948,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
,1kmN2212E4969,11,3,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,2,0
,1kmN2212E4970,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,1kmN2212E4975,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,1kmN2212E4977,6,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
,1kmN2212E4980,9,0,0,0,0,0,1,1,1,2,0,0,0,1,3,0,0,0,0,0,0
,1kmN2213E4943,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
,1kmN2213E4965,9,1,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,1,2,0
,1kmN2213E4974,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
,1kmN2213E4975,6,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0
,1kmN2213E4982,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
,1kmN2214E4924,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,1kmN2214E4925,4,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
,1kmN2214E4982,5,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
,1kmN2215E4924,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2215E4973,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1kmN2215E4977,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2216E4922,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,1kmN2216E4925,7,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,2,0
,1kmN2216E4927,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,1kmN2216E4971,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2216E4975,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,1kmN2217E4973,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
,1kmN2219E4969,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
,1kmN2220E4966,10,1,0,0,0,1,0,0,0,2,0,0,0,2,2,0,0,1,1,0,0
,1kmN2220E4967,24,0,0,1,0,0,1,0,4,5,0,0,1,0,1,2,2,0,1,6,0
,1kmN2221E4964,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2222E4952,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1kmN2222E4958,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,1kmN2222E4965,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2223E4952,4,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0
,1kmN2223E4957,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2223E4958,5,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0
,1kmN2224E4945,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
,1kmN2224E4950,30,2,1,4,0,1,1,3,2,7,1,0,1,1,0,1,0,0,2,3,0
,1kmN2224E4951,8,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,2,0,0,1,0
,1kmN2224E4955,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
,1kmN2225E4870,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2225E4875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,1kmN2225E4876,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,1kmN2225E4877,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
,1kmN2225E4878,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2225E4881,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
,1kmN2225E4882,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2225E4944,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2225E4951,4,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0
,1kmN2226E4869,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,1kmN2226E4888,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2226E4937,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2226E4941,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,1kmN2226E4949,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2226E4950,4,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,1kmN2226E4952,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2227E4811,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,1kmN2227E4867,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2227E4883,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2227E4949,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2227E4958,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
,1kmN2227E4962,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,1kmN2228E4867,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2228E4875,57,1,0,7,0,1,5,9,2,5,3,0,7,3,2,1,3,1,1,6,0
,1kmN2228E4876,16,1,0,5,0,1,1,0,0,1,0,0,1,1,0,1,0,1,2,1,0
,1kmN2228E4884,17,2,0,2,0,0,0,1,0,3,0,0,1,1,0,1,2,0,1,3,0
,1kmN2228E4891,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,1kmN2228E4930,8,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,1,0
,1kmN2228E4934,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2228E4945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,1kmN2228E4956,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
,1kmN2229E4866,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
,1kmN2229E4867,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,1kmN2229E4869,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2229E4874,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2229E4887,6,1,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
,1kmN2229E4906,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2229E4907,7,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,2,0
,1kmN2230E4868,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
,1kmN2230E4869,75,3,0,9,0,2,5,10,5,11,3,0,0,3,5,1,3,2,2,11,0
,1kmN2230E4870,12,0,0,0,0,0,2,0,0,3,0,0,0,2,2,0,0,0,1,2,0
,1kmN2230E4876,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,1kmN2230E4901,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
,1kmN2230E4902,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2230E4906,26,0,1,2,0,2,1,2,0,4,1,0,2,0,2,1,0,0,1,7,0
,1kmN2230E4925,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
,1kmN2230E4933,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,1kmN2230E4949,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
,1kmN2230E4954,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2231E4866,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,1kmN2231E4869,8,0,0,1,0,0,3,1,0,1,0,0,0,0,0,0,0,2,0,0,0
,1kmN2231E4877,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2231E4895,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,1kmN2231E4901,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,1kmN2231E4902,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
,1kmN2231E4903,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2231E4904,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2231E4925,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,1kmN2231E4928,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,1kmN2232E4821,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
,1kmN2232E4901,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,1kmN2232E4902,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1kmN2232E4903,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,1kmN2232E4904,15,0,0,0,0,0,1,4,0,2,0,0,0,1,1,1,0,2,0,3,0
,1kmN2232E4905,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2232E4906,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
,1kmN2232E4920,9,2,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
,1kmN2232E4928,7,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,2,0
,1kmN2232E4929,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,1kmN2232E4948,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2232E4949,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,1kmN2232E4950,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2233E4821,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2233E4822,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,1kmN2233E4823,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,1kmN2233E4824,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2233E4827,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
,1kmN2233E4828,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,1kmN2233E4901,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2233E4902,13,0,0,1,0,0,1,2,0,2,0,0,1,3,2,0,1,0,0,0,0
,1kmN2233E4903,92,0,0,5,0,2,3,15,3,9,3,0,2,11,10,2,3,4,8,12,0
,1kmN2233E4904,9,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,2,1,0
,1kmN2233E4916,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,1kmN2233E4920,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2233E4922,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2234E4821,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1kmN2234E4822,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
,1kmN2234E4825,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,1kmN2234E4826,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2234E4827,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0
,1kmN2234E4828,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1kmN2234E4830,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,1kmN2234E4894,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
,1kmN2234E4936,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
