IDENTIFIER,TOTAL,WOMEN,MEN,TOTAL_0_14,WOMEN_0_14,MEN_0_14,TOTAL_15_64,WOMEN_15_64,MEN_15_64_,TOTAL_65p,WOMEN_65p,MEN_65p,INACTIVE_POPULATION,LABOUR_FORCE,BASIC_EDUCATION_OR_LESS,UPPER_SECONDARY_EDUCATION,TERTIARY_EDUCATION
1kmN2204E4995,169,83,86,30,14,16,119,60,59,20,9,11,63,76,29,82,28
1kmN2204E4996,270,135,135,48,25,23,184,89,95,38,21,17,83,139,39,132,51
1kmN2204E5001,7,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,0
1kmN2204E5002,6,D,D,D,D,D,5,D,D,0,0,0,D,D,D,D,0
1kmN2204E5005,13,5,8,D,D,D,11,D,D,0,0,0,D,D,D,D,0
1kmN2204E5006,50,26,24,D,D,D,36,19,17,10,5,5,25,21,23,21,D
1kmN2205E4885,D,D,D,0,0,0,D,D,D,0,0,0,D,D,D,D,0
1kmN2205E4988,22,10,12,D,D,D,14,7,7,D,D,D,12,D,D,D,D
1kmN2205E4990,102,25,77,11,D,D,83,12,71,8,D,D,20,71,15,71,D
1kmN2205E4991,818,430,388,177,102,75,571,287,284,70,41,29,284,357,157,411,73
1kmN2205E4992,1101,554,547,224,106,118,766,392,374,111,56,55,354,523,188,552,137
1kmN2205E4993,1835,918,917,371,175,196,1258,621,637,206,122,84,585,879,310,850,304
1kmN2205E4994,1030,531,499,207,105,102,663,341,322,160,85,75,363,460,133,512,178
1kmN2205E4995,213,123,90,38,23,15,126,69,57,49,31,18,89,86,30,98,31
1kmN2206E4885,15,7,8,D,D,D,10,D,D,D,D,D,D,D,D,D,0
1kmN2206E4886,7,D,D,D,D,D,5,D,D,D,D,D,D,D,D,D,D
1kmN2206E4983,10,D,D,D,D,D,7,D,D,D,D,D,D,D,D,D,D
1kmN2206E4984,657,354,303,95,40,55,431,231,200,131,83,48,302,260,105,275,182
1kmN2206E4985,791,426,365,105,50,55,512,277,235,174,99,75,339,347,91,344,251
1kmN2206E4986,4329,2405,1924,486,225,261,2756,1440,1316,1087,740,347,2085,1753,646,1938,1145
1kmN2206E4987,1181,626,555,138,63,75,768,402,366,275,161,114,535,507,121,465,454
1kmN2206E4988,609,316,293,101,53,48,376,195,181,132,68,64,279,229,65,273,169
1kmN2206E4989,5,D,D,0,0,0,D,D,D,D,D,D,D,D,D,D,0
1kmN2206E4990,123,68,55,23,14,9,82,45,37,18,9,9,50,50,23,62,15
1kmN2206E4991,145,79,66,45,28,17,91,45,46,9,D,D,37,63,22,66,12
1kmN2206E4992,800,417,383,139,71,68,573,295,278,88,51,37,306,355,184,380,96
1kmN2206E4993,684,340,344,128,68,60,498,236,262,58,36,22,205,351,112,355,89
1kmN2206E4994,9,D,D,D,D,D,6,D,D,0,0,0,D,D,D,D,D
1kmN2207E4880,152,78,74,21,11,10,105,50,55,26,17,9,70,61,40,75,16
1kmN2207E4881,52,26,26,13,6,7,37,20,17,D,D,D,13,26,D,22,12
1kmN2207E4885,7,D,D,D,D,D,5,D,D,0,0,0,D,D,D,D,0
1kmN2207E4982,57,27,30,6,D,D,45,20,25,6,D,D,29,22,11,28,12
1kmN2207E4983,2942,1565,1377,436,202,234,1851,960,891,655,403,252,1311,1194,396,1355,755
1kmN2207E4984,6179,3330,2849,864,415,449,3885,2055,1830,1430,860,570,2782,2532,868,2900,1546
1kmN2207E4985,5169,2726,2443,773,377,396,3308,1702,1606,1088,647,441,2147,2248,867,2360,1168
1kmN2207E4986,549,293,256,80,41,39,376,201,175,93,51,42,225,244,102,232,135
1kmN2207E4987,13,8,5,D,D,D,9,D,D,0,0,0,D,D,D,D,D
1kmN2207E4988,52,28,24,7,D,D,40,22,18,5,D,D,20,25,D,24,12
1kmN2207E4989,168,89,79,29,16,13,108,53,55,31,20,11,67,72,44,83,12
1kmN2207E4990,73,38,35,6,D,D,54,27,27,13,8,5,39,28,16,43,D
1kmN2207E4991,139,61,78,32,12,20,88,39,49,19,10,9,49,58,27,72,D
1kmN2207E4992,12,5,7,D,D,D,9,D,D,D,D,D,D,D,D,D,D
1kmN2207E4993,217,107,110,44,24,20,145,66,79,28,17,11,70,103,46,112,15
1kmN2208E4880,18,8,10,D,D,D,15,7,8,D,D,D,D,D,D,D,D
1kmN2208E4955,D,D,D,0,0,0,D,D,D,0,0,0,0,D,0,D,0
1kmN2208E4978,58,29,29,9,D,D,35,15,20,14,8,6,27,22,D,27,12
1kmN2208E4983,1555,814,741,301,153,148,1023,519,504,231,142,89,553,701,199,676,378
1kmN2208E4984,3328,1750,1578,502,247,255,2211,1134,1077,615,369,246,1329,1495,655,1562,604
1kmN2208E4985,1104,603,501,174,87,87,695,373,322,235,143,92,475,455,219,523,188
1kmN2208E4988,51,28,23,7,D,D,30,16,14,14,9,5,26,18,11,28,D
1kmN2208E4989,96,46,50,25,11,14,64,31,33,7,D,D,27,44,15,51,D
1kmN2208E4992,271,134,137,50,27,23,180,88,92,41,19,22,104,117,70,128,23
1kmN2208E4993,94,44,50,13,D,D,68,32,36,13,D,D,38,43,28,48,D
1kmN2209E4879,D,D,D,0,0,0,D,D,D,D,D,D,D,D,D,D,D
1kmN2209E4880,44,19,25,D,D,D,24,9,15,16,7,9,22,18,13,17,D
1kmN2209E4955,41,16,25,D,D,D,30,10,20,7,D,D,26,11,13,18,D
1kmN2209E4971,6,D,D,0,0,0,D,D,D,D,D,D,D,D,D,D,0
1kmN2209E4972,58,31,27,D,D,D,46,23,23,10,D,D,35,21,13,34,D
1kmN2209E4973,6,D,D,D,D,D,5,D,D,0,0,0,D,D,D,D,D
1kmN2209E4974,D,D,D,0,0,0,0,0,0,D,D,D,D,0,D,0,0
1kmN2209E4977,59,28,31,5,D,D,42,20,22,12,6,6,22,32,D,33,13
1kmN2209E4978,46,17,29,D,D,D,27,10,17,15,7,8,24,18,14,19,D
1kmN2209E4982,46,19,27,13,D,D,26,15,11,7,D,D,16,17,D,17,D
