IDENTIFIER,ESTABLISHMENTS - TOTAL,ACCOMMODATION UNITS (ROOMS APARTMENTS CAMPING SITES) - TOTAL,NUMBER OF PERMANENT BEDS,TOTAL ARRIVALS,A_DOMESTIC TOURISTS - TOTAL,A_FOREIGN TOURISTS - TOTAL,A_AUSTRIAN TOURISTS,A_GERMAN TOURISTS,A_ITALIAN TOURISTS,A_SLOVENIAN TOURISTS,TOTAL NIGHTS,N_DOMESTIC TOURISTS - TOTAL,N_FOREIGN TOURISTS - TOTAL,N_AUSTRIAN TOURISTS,N_GERMAN TOURISTS,N_ITALIAN TOURISTS,N_SLOVENIAN TOURISTS
1kmN2198E5000,4,6,17,152,0,152,5,2,6,3,876,0,876,30,22,22,18
1kmN2198E5001,2,7,13,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2198E5006,1,6,12,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2198E5007,2,2,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2198E5008,3,7,23,274,10,264,6,29,3,0,1840,14,1826,45,388,14,0
1kmN2199E4997,7,9,34,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2199E4998,9,19,44,1144,18,1126,14,69,18,7,3069,22,3047,43,312,33,8
1kmN2199E4999,2,4,12,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2199E5008,1,1,4,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2200E4995,3,491,993,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2200E4996,221,1318,2885,74139,1837,72302,2402,4238,1122,315,426045,5895,420150,14768,27027,4418,1249
1kmN2200E4997,33,68,185,2195,75,2120,25,83,118,16,12555,352,12203,192,427,533,96
1kmN2200E4998,13,30,78,1672,45,1627,21,87,90,15,5179,102,5077,229,410,299,170
1kmN2200E5000,2,4,8,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2200E5002,2,3,10,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2200E5006,1,1,2,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2201E4995,11,33,77,671,8,663,6,24,5,2,4340,18,4322,34,175,19,12
1kmN2201E4996,58,147,366,5974,137,5837,60,252,136,24,34093,441,33652,270,1306,669,93
1kmN2201E4997,44,74,219,2923,67,2856,21,133,130,8,17053,364,16689,101,791,711,20
1kmN2201E4999,1,2,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2203E4996,26,239,545,6209,153,6056,69,416,284,55,20402,584,19818,298,1647,935,304
1kmN2203E4997,7,19,49,374,19,355,4,17,26,4,2060,220,1840,20,119,158,32
1kmN2203E5002,1,3,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2204E4995,20,62,146,2806,68,2738,57,266,108,9,14472,286,14186,337,1761,357,33
1kmN2204E4996,31,80,194,2797,60,2737,46,230,101,5,15746,290,15456,229,1542,456,31
1kmN2204E5006,1,2,4,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2205E4988,4,8,16,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2205E4991,1,1,2,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2205E4992,18,39,96,1365,57,1308,8,91,52,7,8193,332,7861,53,716,227,56
1kmN2205E4993,97,763,1845,55123,4306,50817,1471,3250,1963,550,174964,11909,163055,5460,11771,5460,1718
1kmN2205E4994,162,883,2018,55595,5873,49722,918,7635,1557,361,254727,13950,240777,4348,35033,5185,1433
1kmN2205E4995,38,104,259,3928,235,3693,47,313,182,25,20772,1036,19736,231,2246,798,77
1kmN2206E4855,1,2,4,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2206E4984,15,33,91,4673,249,4424,43,190,234,48,12210,633,11577,124,524,560,100
1kmN2206E4985,83,471,1013,54740,1725,53015,862,2531,769,458,179784,4118,175666,3188,11003,2288,1429
1kmN2206E4986,1253,4283,10054,433934,16662,417272,6427,22495,11601,2208,1297054,46412,1250642,23246,70132,29615,5597
1kmN2206E4987,238,703,1619,68017,1543,66474,915,2726,1078,246,221680,4285,217395,3211,10303,3157,722
1kmN2206E4988,69,144,356,13977,162,13815,202,786,292,53,46788,421,46367,797,3057,1105,147
1kmN2206E4991,2,3,9,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2206E4992,11,18,57,438,26,412,12,46,21,0,3050,186,2864,102,332,85,0
1kmN2206E4993,6,14,37,724,45,679,5,26,26,0,3998,327,3671,20,120,164,0
1kmN2207E4880,11,98,204,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2207E4885,14,60,182,935,212,723,44,55,125,224,7970,1704,6266,412,503,954,2315
1kmN2207E4982,8,227,462,18929,1838,17091,426,1190,527,187,70738,4028,66710,1516,5536,1855,643
1kmN2207E4983,271,777,1800,65915,3062,62853,898,3262,2089,382,241910,8224,233686,3280,14830,7329,1145
1kmN2207E4984,294,598,1506,57593,4404,53189,708,2545,1925,323,190758,9437,181321,2211,10034,6705,707
1kmN2207E4985,326,522,1333,39476,516,38960,391,2086,1618,113,128464,1579,126885,1280,7514,5239,285
1kmN2207E4986,73,125,311,10363,146,10217,151,555,378,37,30204,392,29812,389,1743,987,97
1kmN2207E4988,8,17,49,901,11,890,11,73,37,6,4075,39,4036,69,499,110,18
1kmN2207E4989,3,5,12,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2207E4990,1,1,4,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2207E4991,2,7,16,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2207E4993,5,7,19,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2208E4955,2,5,14,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2208E4978,5,12,31,255,5,250,3,57,6,0,1562,11,1551,19,464,30,0
1kmN2208E4979,2,4,12,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2208E4982,9,773,1558,105395,8351,97044,1796,4335,1514,684,338291,21529,316762,6772,20733,4529,1720
1kmN2208E4983,208,1197,2670,96652,4226,92426,3353,5538,2341,456,391634,14907,376727,18630,28687,8380,1354
1kmN2208E4984,160,370,880,45088,3627,41461,324,1746,1959,167,100798,7058,93740,958,4867,4841,330
1kmN2208E4985,43,174,392,39986,5175,34811,421,2043,1176,202,75086,7912,67174,981,4156,2110,348
1kmN2208E4989,2,5,12,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2208E4992,4,10,28,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2209E4880,16,61,151,933,173,760,45,83,63,191,7599,1163,6436,425,761,615,1960
1kmN2209E4955,33,112,264,2781,261,2520,115,199,238,287,17522,1532,15990,1046,1323,1321,2610
1kmN2209E4972,12,40,94,1035,18,1017,17,75,12,5,6860,116,6744,129,684,83,15
1kmN2209E4977,20,188,442,5131,30,5101,48,136,18,7,39305,105,39200,418,1167,83,50
1kmN2209E4978,3,3,13,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2209E4982,9,20,48,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2209E4983,12,34,83,1016,10,1006,7,161,30,4,4975,57,4918,33,966,98,16
1kmN2209E4984,9,16,36,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2209E4985,13,18,58,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2209E4986,1,2,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2209E4987,2,3,11,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2209E4988,6,23,48,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2210E4880,8,23,59,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2210E4881,1,4,8,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2210E4884,24,75,172,1177,282,895,28,42,125,125,8498,1527,6971,223,299,1148,1183
1kmN2210E4886,21,50,114,993,281,712,37,72,53,137,5774,1552,4222,271,423,263,1024
1kmN2210E4953,2,3,12,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2210E4955,2,8,16,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2210E4972,43,352,747,12241,456,11785,235,800,260,37,71641,1740,69901,1529,5640,1350,250
1kmN2210E4980,1,1,4,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2210E4981,20,89,207,2725,72,2653,52,508,143,13,13871,156,13715,259,3953,453,49
1kmN2210E4982,2,4,10,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2210E4984,5,7,19,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2210E4985,30,83,205,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2210E4986,33,50,129,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2210E4987,18,36,85,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2210E4988,10,31,108,2264,251,2013,39,161,164,25,8156,778,7378,80,627,391,29
1kmN2211E4940,3,5,13,56,3,53,0,13,0,0,460,19,441,0,146,0,0
1kmN2211E4941,2,2,9,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2211E4977,3,6,14,97,1,96,0,9,4,7,537,5,532,0,82,28,31
1kmN2211E4978,12,429,1237,44268,1295,42973,647,3398,1299,287,178509,3766,174743,2441,14468,3494,933
1kmN2211E4979,10,29,68,1054,36,1018,2,49,83,12,5455,258,5197,2,301,321,20
1kmN2211E4980,31,71,176,1848,75,1773,81,193,132,24,11169,672,10497,529,1667,626,112
1kmN2211E4981,22,63,143,2669,57,2612,84,206,194,46,12410,358,12052,469,1207,713,83
1kmN2212E4936,1,1,4,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2212E4938,5,58,169,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2212E4939,2,5,10,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2212E4943,23,56,144,1937,255,1682,56,134,142,45,8694,1340,7354,354,771,543,325
1kmN2212E4944,3,4,10,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2212E4947,2,2,13,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2212E4948,22,45,128,1612,132,1480,15,109,82,70,7877,918,6959,139,724,556,627
1kmN2212E4949,17,30,71,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2212E4950,1,2,8,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2212E4969,20,71,158,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2212E4970,2,3,12,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2212E4975,2,5,11,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2212E4977,34,162,442,8834,102,8732,235,1976,564,228,36306,636,35670,804,8167,1551,576
1kmN2212E4978,9,15,41,561,11,550,11,55,29,2,3391,35,3356,67,468,264,12
1kmN2212E4980,106,339,789,11676,632,11044,253,1373,589,95,54191,1646,52545,1742,9291,2548,417
1kmN2212E4981,1,1,4,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2213E4932,6,18,53,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2213E4943,9,24,55,1151,160,991,14,65,92,28,3713,576,3137,92,377,262,221
1kmN2213E4965,15,117,250,3619,233,3386,33,271,50,28,20645,1126,19519,173,2133,183,197
1kmN2213E4966,1,3,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2213E4974,3,5,13,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2213E4975,25,83,209,1915,45,1870,92,214,138,20,7405,222,7183,336,710,298,54
1kmN2214E4925,6,26,54,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2214E4934,1,3,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2214E4965,4,19,40,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2214E4973,11,19,62,735,15,720,18,107,16,8,4994,191,4803,116,810,206,16
1kmN2214E4977,1,1,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2214E4982,1,2,4,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2215E4923,1,4,11,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2215E4924,16,33,77,1105,91,1014,19,71,48,53,5294,568,4726,174,418,240,508
1kmN2215E4932,9,59,166,1771,266,1505,52,128,90,115,8246,1722,6524,314,604,352,1038
1kmN2215E4973,5,9,24,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2215E4977,2,2,7,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2216E4922,16,217,457,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2216E4925,26,88,200,3120,241,2879,30,120,181,103,9941,1075,8866,111,548,584,755
1kmN2216E4927,1,2,5,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2216E4972,2,2,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2216E4975,2,2,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2219E4965,1,3,8,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2219E4966,6,17,48,458,6,452,21,31,18,14,3432,41,3391,185,232,127,160
1kmN2219E4969,1,3,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2220E4964,8,35,85,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2220E4965,1,3,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2220E4966,87,528,1239,24292,945,23347,539,3573,521,414,123777,4031,119746,3572,28298,2239,2280
1kmN2220E4967,15,46,112,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2221E4961,2,4,10,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2221E4964,11,54,147,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2221E4966,2,9,27,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2222E4949,5,270,810,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2222E4950,1,1,2,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2222E4952,15,42,88,694,32,662,21,56,22,53,5071,156,4915,141,525,281,417
1kmN2222E4955,1,2,4,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2222E4958,7,11,28,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2222E4963,1,4,8,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2223E4952,3,11,23,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2223E4964,1,3,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2224E4875,2,5,20,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2224E4876,2,2,9,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2224E4877,1,2,10,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2224E4878,1,2,8,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2224E4945,1,2,4,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2224E4950,23,40,101,2260,241,2019,34,130,162,40,5803,1070,4733,81,474,355,103
1kmN2224E4951,3,8,19,610,48,562,9,33,43,23,1700,235,1465,26,116,87,25
1kmN2225E4871,2,5,12,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2225E4874,1,3,8,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2225E4875,1,4,14,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2225E4876,5,11,41,220,7,213,5,9,7,68,2532,71,2461,12,75,80,805
1kmN2225E4877,6,15,57,375,9,366,5,28,11,82,3047,72,2975,16,240,88,914
1kmN2225E4878,3,12,25,230,31,199,20,3,3,67,2251,295,1956,129,31,6,781
1kmN2225E4880,1,1,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2225E4881,19,39,115,687,79,608,33,56,93,102,6138,662,5476,284,647,850,1182
1kmN2225E4882,61,192,501,7004,641,6363,381,1321,301,522,41927,3325,38602,2907,10646,1983,4449
1kmN2225E4945,1,1,2,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2225E4951,18,54,126,4192,789,3403,142,344,313,114,8978,1535,7443,265,1126,658,221
1kmN2226E4866,7,10,32,240,23,217,12,18,12,76,2342,241,2101,164,219,112,874
1kmN2226E4869,1,7,14,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2226E4870,1,4,8,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2226E4887,1,2,10,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2226E4938,1,2,10,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2226E4949,3,4,9,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2226E4950,15,37,83,925,52,873,30,80,40,7,4822,275,4547,168,401,166,44
1kmN2227E4888,1,1,4,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2227E4949,3,8,14,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2228E4811,6,7,24,82,11,71,2,6,8,24,777,55,722,18,52,33,437
1kmN2228E4865,3,6,14,114,4,110,14,31,0,9,1057,36,1021,157,353,0,65
1kmN2228E4866,1,1,4,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2228E4884,2,2,8,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2228E4930,81,312,808,6158,352,5806,134,441,92,267,46002,2608,43394,1051,3664,574,2181
1kmN2228E4931,1,1,2,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2228E4933,1,2,8,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2228E4946,4,5,15,157,11,146,7,8,8,0,766,57,709,14,32,46,0
1kmN2228E4957,1,1,4,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2229E4866,1,4,8,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2229E4867,10,18,50,262,9,253,38,62,0,19,2935,110,2825,436,867,0,213
1kmN2229E4887,69,169,540,3212,159,3053,120,428,156,233,26662,1377,25285,998,4438,1198,2171
1kmN2229E4906,19,43,100,841,100,741,22,63,68,136,6624,884,5740,169,572,392,1255
1kmN2229E4907,33,77,195,1757,177,1580,64,185,91,181,12103,1125,10978,555,1447,552,1826
1kmN2229E4908,6,10,31,356,56,300,29,18,13,37,2843,455,2388,262,136,87,452
1kmN2230E4869,6,429,928,17190,2528,14662,272,933,510,1392,73247,7076,66171,1174,4185,1972,8261
1kmN2230E4901,1,3,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2230E4902,1,1,2,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2230E4905,2,3,8,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2230E4906,184,629,1596,14324,1673,12651,389,1355,728,1278,96613,9935,86678,3539,11631,4937,13449
1kmN2230E4921,1,5,10,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2230E4925,38,103,222,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2230E4928,1,1,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2230E4935,48,155,469,3204,144,3060,20,138,71,64,26447,820,25627,131,1324,334,477
1kmN2230E4936,9,78,228,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2230E4937,2,8,21,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2230E4954,1,3,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2231E4865,2,8,20,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
