x,y,TOTAL_ESTA,ARRIVALS_T,ARRIVALS_D,ARRIVALS_F,ARRIVALS_G,ARRIVALS_S,ARRIVALS_I,ARRIVALS_A,NIGHTS_TOT,NIGHTS_DOM,NIGHTS_FOR,NIGHTS_Ger,NIGHTS_Slo,NIGHTS_Ita,NIGHTS_Aus
4603000,2463000,76,21819,2098,19721,4121,1251,3324,4539,97265,4451,92814,26007,3793,12322,20185
4603000,2464000,53,172752,16859,155893,27430,10344,22565,44891,779824,39999,739825,170400,27456,74146,191489
4603000,2465000,6,466,1,465,181,4,51,89,3673,2,3671,1735,21,543,506
4603000,2466000,25,6010,73,5937,1747,377,533,1155,44834,308,44526,15547,1495,3001,7162
4603000,2467000,17,755,8,747,254,50,153,75,6012,31,5981,2521,332,1087,490
4603000,2468000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4603000,2469000,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4603000,2470000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4603000,2471000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4603000,2475000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4603000,2476000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4603000,2481000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4603000,2483000,9,534,30,504,196,20,40,154,3831,127,3704,1674,81,215,1055
4603000,2485000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4604000,2455000,82,4564,274,4290,1004,289,663,966,27830,1341,26489,8175,1519,3744,4710
4604000,2457000,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4604000,2458000,167,219360,7147,212213,55614,33893,20866,18969,1654693,29902,1624791,541934,175739,109806,129015
4604000,2461000,11,806,52,754,141,62,215,128,4405,141,4264,1115,230,1341,597
4604000,2462000,48,2626,98,2528,871,139,362,319,18731,370,18361,8073,536,2154,1774
4604000,2463000,50,2874,85,2789,670,158,376,382,19457,350,19107,5465,697,2070,2044
4604000,2464000,534,224282,11783,212499,51756,24742,22994,43203,1237732,31884,1205848,364832,107598,91199,205833
4604000,2465000,172,18664,603,18061,5678,1157,1721,2917,126249,3196,123053,48330,4877,9063,16064
4604000,2466000,160,10150,277,9873,2950,580,1554,1278,63195,1384,61811,24791,2024,7656,6603
4604000,2467000,3,138,0,138,71,0,4,22,1137,0,1137,672,0,24,100
4604000,2469000,5,216,0,216,86,120,2,6,1541,0,1541,770,713,6,46
4604000,2470000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4604000,2471000,77,4171,143,4028,1358,159,475,768,30824,610,30214,12417,796,2897,5351
4604000,2472000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4604000,2478000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4604000,2482000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4604000,2483000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4604000,2488000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4605000,2454000,11,607,18,589,158,49,82,119,4861,124,4737,1747,437,454,821
4605000,2455000,156,203481,3925,199556,60818,31740,23679,34634,1539737,14564,1525173,593285,177946,131132,227895
4605000,2457000,12,886,40,846,312,36,174,60,5842,116,5726,2323,179,974,354
4605000,2458000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4605000,2461000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4605000,2462000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4605000,2463000,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4605000,2464000,9,823,24,799,133,38,147,44,4706,85,4621,928,108,795,203
4605000,2465000,13,676,45,631,173,36,76,54,4633,305,4328,1656,119,321,294
4605000,2466000,105,6461,293,6168,2009,288,991,808,41976,1244,40732,17128,1177,4917,4409
4605000,2467000,47,2820,57,2763,1351,83,309,216,22747,191,22556,13042,396,1948,1279
4605000,2468000,19,1607,33,1574,655,40,203,261,11640,162,11478,5926,196,1031,1783
4605000,2471000,35,2126,101,2025,866,63,221,253,17213,438,16775,8663,268,1622,1803
4605000,2472000,77,115766,2583,113183,31881,13327,11994,28712,773463,9793,763670,263375,67669,64321,182732
4605000,2479000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4605000,2480000,19,2402,341,2061,297,189,317,576,7524,681,6843,1414,335,1054,1841
4605000,2485000,3,122,0,122,77,0,0,14,1217,0,1217,860,0,0,98
4605000,2488000,8,1243,67,1176,269,53,221,131,4479,111,4368,2206,71,448,392
4606000,2450000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4606000,2451000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4606000,2454000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4606000,2462000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4606000,2463000,44,2145,65,2080,735,138,380,207,15088,380,14708,6784,557,2260,1162
4606000,2464000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4606000,2467000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4606000,2468000,34,2251,142,2109,708,123,417,198,14052,595,13457,6342,338,1989,1006
4606000,2469000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4606000,2471000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4606000,2472000,4,141,2,139,74,9,4,19,1088,8,1080,653,42,44,125
4606000,2478000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4606000,2479000,6,246,6,240,117,6,15,4,2224,26,2198,1221,21,85,20
4606000,2486000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4606000,2487000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4606000,2488000,12,556,8,548,402,0,1,69,6024,84,5940,4667,0,14,476
4606000,2489000,7,5172,229,4943,176,197,3983,150,13060,342,12718,1079,276,9335,479
4607000,2447000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4607000,2448000,12,668,18,650,111,9,113,94,3254,59,3195,739,56,607,377
4607000,2450000,13,648,15,633,290,2,38,93,5218,56,5162,2862,56,327,607
4607000,2460000,35,1720,65,1655,621,62,258,154,13113,322,12791,5816,265,1570,962
4607000,2461000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4607000,2462000,27,1294,38,1256,598,35,164,97,9785,160,9625,5584,137,828,477
4607000,2463000,16,855,27,828,327,25,155,76,6588,105,6483,3358,111,820,505
4607000,2465000,13,719,20,699,231,50,116,90,4421,56,4365,2124,153,493,517
4607000,2468000,32,1847,78,1769,645,88,256,223,12989,286,12703,5788,224,1279,1404
4607000,2469000,11,380,15,365,154,16,71,23,3148,85,3063,1568,90,443,129
4607000,2471000,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4607000,2473000,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4607000,2474000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4607000,2483000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4607000,2484000,16,1394,369,1025,140,49,332,180,3526,653,2873,726,86,695,358
4607000,2487000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4607000,2488000,9,714,37,677,280,25,170,68,4072,97,3975,2471,137,561,271
4607000,2489000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4608000,2446000,6,610,2,608,113,12,165,118,4167,14,4153,979,52,1149,703
4608000,2447000,2031,573169,43435,529734,123279,43478,70478,94244,3328922,124902,3204020,1064931,160618,338316,507702
4608000,2451000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4608000,2458000,8,303,2,301,125,1,36,11,2724,8,2716,1353,9,246,107
4608000,2459000,25,1096,22,1074,635,17,23,136,9077,74,9003,5809,95,106,825
4608000,2460000,5,145,0,145,78,0,4,27,997,0,997,593,0,14,176
4608000,2462000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4608000,2463000,30,2200,130,2070,661,96,363,185,12660,282,12378,6000,221,1274,1061
4608000,2464000,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4608000,2465000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4608000,2466000,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4608000,2467000,13,544,11,533,330,12,15,56,4903,62,4841,3228,53,91,426
4608000,2468000,18,806,8,798,454,14,59,84,6958,41,6917,4605,86,392,589
4608000,2469000,14,419,13,406,224,13,71,7,4259,61,4198,2391,61,474,41
4608000,2480000,9,526,8,518,175,10,0,80,4353,23,4330,1784,27,0,514
4608000,2483000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4608000,2487000,19,794,20,774,511,20,40,53,6856,68,6788,5120,52,113,393
4609000,2446000,3,145,3,142,87,0,0,16,1251,21,1230,824,0,0,112
4609000,2447000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4609000,2457000,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4609000,2459000,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4609000,2462000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4609000,2463000,25,1802,68,1734,664,154,226,153,11130,192,10938,5946,462,772,825
4609000,2464000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4609000,2465000,6,399,62,337,214,33,27,7,2990,195,2795,2031,123,169,43
4609000,2466000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4609000,2467000,4,205,11,194,96,5,15,24,1510,51,1459,893,18,99,92
4609000,2468000,5,204,2,202,150,0,9,8,2081,12,2069,1608,0,108,56
4609000,2471000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4609000,2472000,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4609000,2473000,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4609000,2484000,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4609000,2485000,3,158,9,149,34,8,10,24,1149,24,1125,382,54,88,129
4610000,2446000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4610000,2447000,3,346,21,325,68,13,49,19,1353,40,1313,417,37,187,71
4610000,2459000,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4610000,2461000,19,1055,38,1017,435,32,94,122,8144,103,8041,4223,108,420,840
4610000,2462000,25,1202,56,1146,585,23,150,116,9638,207,9431,5830,141,682,744
4610000,2463000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4610000,2467000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4610000,2468000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4610000,2471000,10,451,23,428,244,26,30,63,3244,81,3163,2210,50,118,429
4610000,2472000,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4610000,2473000,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4610000,2475000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4610000,2478000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4610000,2479000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4610000,2481000,9,881,28,853,207,15,113,168,4343,82,4261,1848,17,232,587
4610000,2484000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4610000,2486000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4610000,2488000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4611000,2444000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4611000,2445000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4611000,2446000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4611000,2456000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4611000,2457000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4611000,2461000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4611000,2462000,8,380,5,375,162,13,43,36,3229,17,3212,1667,73,250,230
4611000,2465000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4611000,2469000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4611000,2471000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4611000,2472000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4611000,2473000,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4611000,2480000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4611000,2487000,18,1052,66,986,370,53,65,166,6298,219,6079,3148,108,191,837
4611000,2488000,3,100,0,100,78,0,0,0,935,0,935,737,0,0,0
4612000,2443000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4612000,2444000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4612000,2445000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4612000,2446000,3,216,0,216,127,0,0,36,1766,0,1766,1123,0,0,254
4612000,2451000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4612000,2454000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4612000,2455000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4612000,2456000,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4612000,2458000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4612000,2460000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4612000,2462000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4612000,2464000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4612000,2465000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4612000,2467000,7,511,16,495,239,15,33,17,3820,21,3799,2427,42,116,103
4612000,2468000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4612000,2469000,11,528,4,524,248,0,36,56,4669,4,4665,2352,0,221,431
4612000,2471000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4612000,2474000,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4612000,2476000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4612000,2481000,25,2292,309,1983,324,228,295,354,9244,1340,7904,1991,656,713,1133
4612000,2483000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4613000,2443000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4613000,2444000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4613000,2445000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4613000,2446000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4613000,2450000,10,1562,54,1508,305,26,199,230,8826,201,8625,2439,106,984,1118
4613000,2451000,86,5137,260,4877,1571,114,918,476,32294,1055,31239,13607,373,4123,3162
4613000,2458000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4613000,2459000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4613000,2460000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4613000,2462000,4,306,28,278,57,26,70,35,1375,41,1334,527,101,157,171
4613000,2468000,33,1060,66,994,224,82,49,183,6834,175,6659,1882,137,249,870
4613000,2469000,23,1711,154,1557,501,63,87,186,10171,432,9739,4569,204,262,1155
4613000,2470000,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4613000,2472000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4613000,2473000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4613000,2474000,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4613000,2475000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4613000,2476000,8,527,14,513,163,1,0,68,4158,50,4108,1416,7,0,410
4613000,2481000,3,79,2,77,14,0,0,2,698,4,694,151,0,0,12
4613000,2482000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4613000,2485000,4,213,23,190,31,15,36,27,796,33,763,279,29,73,83
4614000,2443000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4614000,2445000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4614000,2450000,10,555,41,514,166,10,116,44,3686,220,3466,1581,27,550,244
4614000,2451000,7,305,8,297,136,7,49,27,2271,26,2245,1223,26,317,200
4614000,2456000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4614000,2460000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4614000,2461000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4614000,2463000,7,297,9,288,191,0,4,18,2939,35,2904,1909,0,28,187
4614000,2465000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4614000,2470000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4614000,2471000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4614000,2473000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4614000,2474000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4614000,2475000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4614000,2476000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4614000,2477000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4614000,2478000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4614000,2482000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4615000,2451000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4615000,2452000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4615000,2455000,5,187,12,175,109,7,3,9,1739,84,1655,1089,79,12,61
4615000,2456000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4615000,2457000,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4615000,2458000,16,549,46,503,120,24,19,87,3622,67,3555,1099,69,261,442
4615000,2459000,6,286,2,284,175,4,17,29,2518,6,2512,1808,20,100,184
4615000,2465000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4615000,2466000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4615000,2467000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4615000,2468000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4615000,2470000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4615000,2471000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4615000,2472000,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4615000,2473000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4615000,2474000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4615000,2475000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4615000,2476000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4615000,2479000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4615000,2482000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4615000,2483000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4615000,2485000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4616000,2438000,5,272,6,266,38,119,46,17,1711,46,1665,254,777,281,112
4616000,2450000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4616000,2451000,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4616000,2452000,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4616000,2455000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4616000,2456000,4,148,0,148,116,0,4,9,1645,0,1645,1264,0,28,161
4616000,2459000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4616000,2460000,32,1109,24,1085,345,6,35,175,8750,75,8675,2976,18,225,1102
4616000,2461000,22,975,29,946,582,6,13,180,8172,149,8023,5395,32,50,1208
4616000,2462000,10,361,8,353,225,0,5,56,3583,43,3540,2371,0,39,441
4616000,2463000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4616000,2465000,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4616000,2466000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4616000,2469000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4616000,2471000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4616000,2476000,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4616000,2481000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4616000,2483000,6,226,4,222,111,0,0,72,1741,28,1713,928,0,0,482
4617000,2438000,34,1579,30,1549,900,44,74,178,14108,168,13940,9307,238,520,1357
4617000,2439000,22,1534,63,1471,495,106,175,143,11277,326,10951,4851,451,1033,911
4617000,2451000,21,1192,34,1158,598,19,108,91,9262,196,9066,5436,32,580,528
4617000,2452000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4617000,2454000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4617000,2456000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4617000,2457000,9,408,0,408,206,0,3,45,3487,0,3487,1777,0,57,277
4617000,2458000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4617000,2459000,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4617000,2460000,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4617000,2462000,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4617000,2463000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4617000,2464000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4617000,2465000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4617000,2466000,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4617000,2468000,13,758,8,750,460,19,27,105,6937,41,6896,4424,75,178,848
4617000,2469000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4617000,2470000,7,387,6,381,204,2,15,66,2661,12,2649,1356,26,97,525
4617000,2471000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4617000,2472000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4617000,2473000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4617000,2483000,3,41,5,36,19,2,0,0,347,37,310,223,8,0,0
4618000,2436000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4618000,2437000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4618000,2438000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4618000,2439000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4618000,2448000,10,904,74,830,283,21,175,53,4988,153,4835,2372,31,460,330
4618000,2453000,7,261,7,254,156,0,14,44,2430,47,2383,1634,0,68,295
4618000,2456000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4618000,2457000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
