x,y,resolution,ms_pop
3815000,3109000,1000,25
3815000,3110000,1000,48
3815000,3111000,1000,121
3815000,3112000,1000,110
3815000,3114000,1000,46
3815000,3115000,1000,34
3815000,3116000,1000,57
3815000,3117000,1000,383
3815000,3118000,1000,57
3815000,3119000,1000,8
3815000,3120000,1000,9
3815000,3121000,1000,9
3815000,3122000,1000,29
3815000,3123000,1000,20
3815000,3124000,1000,8
3815000,3125000,1000,10
3815000,3127000,1000,14
3815000,3128000,1000,6
3815000,3130000,1000,44
3815000,3131000,1000,20
3815000,3132000,1000,16
3815000,3133000,1000,13
3815000,3134000,1000,14
3815000,3135000,1000,189
3815000,3136000,1000,226
3815000,3137000,1000,44
3815000,3138000,1000,307
3815000,3141000,1000,932
3816000,3092000,1000,43
3816000,3093000,1000,21
3816000,3094000,1000,8
3816000,3095000,1000,41
3816000,3096000,1000,12
3816000,3097000,1000,27
3816000,3098000,1000,46
3816000,3100000,1000,24
3816000,3101000,1000,18
3816000,3102000,1000,24
3816000,3104000,1000,9
3816000,3105000,1000,9
3816000,3108000,1000,9
3816000,3109000,1000,12
3816000,3111000,1000,203
3816000,3112000,1000,24
3816000,3113000,1000,22
3816000,3114000,1000,40
3816000,3115000,1000,24
3816000,3116000,1000,16
3816000,3117000,1000,33
3816000,3118000,1000,185
3816000,3120000,1000,6
3816000,3121000,1000,23
3816000,3122000,1000,13
3816000,3124000,1000,28
3816000,3125000,1000,42
3816000,3127000,1000,12
3816000,3128000,1000,173
3816000,3129000,1000,59
3816000,3130000,1000,12
3816000,3131000,1000,466
3816000,3132000,1000,46
3816000,3133000,1000,26
3816000,3134000,1000,13
3816000,3135000,1000,6
3816000,3136000,1000,12
3816000,3137000,1000,4
3816000,3138000,1000,145
3816000,3139000,1000,13
3816000,3140000,1000,460
3817000,3091000,1000,13
3817000,3092000,1000,36
3817000,3093000,1000,31
3817000,3094000,1000,8
3817000,3095000,1000,17
3817000,3096000,1000,199
3817000,3097000,1000,18
3817000,3098000,1000,28
3817000,3099000,1000,18
3817000,3100000,1000,52
3817000,3101000,1000,43
3817000,3102000,1000,4
3817000,3103000,1000,301
3817000,3104000,1000,25
3817000,3105000,1000,23
3817000,3106000,1000,138
3817000,3107000,1000,571
3817000,3108000,1000,14
3817000,3109000,1000,23
3817000,3110000,1000,279
3817000,3111000,1000,22
3817000,3112000,1000,21
3817000,3113000,1000,172
3817000,3114000,1000,44
3817000,3115000,1000,33
3817000,3116000,1000,25
3817000,3117000,1000,38
3817000,3118000,1000,10
3817000,3119000,1000,10
3817000,3120000,1000,15
3817000,3122000,1000,26
3817000,3123000,1000,19
3817000,3124000,1000,29
3817000,3125000,1000,40
3817000,3126000,1000,10
