x,y,0_15,0_5,100_,15_20,20_25,30_35,35_40,40_45,45_50,50_55,55_60,5_10,60_65,65_70,70_75,75_80,80_85,85_90,90_95,95_100,f,ld25_30,m,pop
3,9,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,3,0,0,4,0,7,11
3,24,0,0,0,0,0,3,0,3,0,3,3,0,0,3,0,3,0,0,0,0,9,0,9,18
3,25,3,6,0,0,0,3,0,0,0,3,3,3,0,3,0,0,0,0,0,0,17,3,18,35
3,26,3,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,7,0,10,17
3,36,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3
3,37,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3
3,38,0,0,0,0,0,0,3,0,0,0,6,0,3,3,0,0,0,0,0,0,5,0,8,13
3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
3,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
3,41,0,3,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,3,9,13
3,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
3,52,3,3,0,0,3,3,0,0,9,0,3,3,0,0,0,3,0,0,0,0,9,0,9,18
3,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
3,55,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
3,64,3,0,0,0,0,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,5,0,14,19
3,65,0,4,0,0,3,8,3,8,0,3,6,7,6,6,8,6,0,0,0,0,35,6,38,73
3,66,0,3,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,3,3,0,7,0,6,13
3,67,0,5,0,3,7,8,3,3,3,9,5,4,0,3,3,3,0,0,0,0,27,9,40,67
3,68,4,12,0,9,0,15,15,9,6,13,12,17,17,9,15,16,3,3,0,0,77,3,95,172
3,69,0,0,0,0,0,0,3,3,0,0,3,3,6,0,0,4,3,0,0,0,8,3,11,19
3,70,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,3
3,72,0,0,0,0,0,3,3,3,3,0,0,4,0,0,0,0,0,0,0,0,7,0,7,14
3,73,6,0,0,0,0,3,0,3,0,3,3,3,0,0,3,6,0,0,0,0,14,0,13,27
3,74,0,4,0,0,0,6,6,0,0,0,3,3,0,4,5,0,0,3,3,0,24,3,21,45
3,75,0,6,0,0,0,3,3,3,0,0,3,5,3,0,3,3,0,0,0,0,14,3,16,30
3,78,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
3,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
3,84,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
3,85,3,0,0,3,0,0,3,0,3,0,3,3,6,3,0,3,0,0,0,0,10,3,13,23
3,91,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,6,9
3,92,0,3,0,4,0,3,3,0,8,0,3,3,3,3,3,0,3,0,0,0,16,3,20,36
