lat,lng,continent
-32.94008,-63.2466,SA
36.96078,-121.96413,NA
36.95127,72.318,AS
40.46423,-80.60091,NA
41.87493,-8.08783,EU
39.1178,113.92331,AS
43.3,-0.4,EU
50.25736,17.22805,EU
43.89734,1.99268,EU
45.08333,64.66667,AS
52.57898,1.41329,EU
44.43885,-93.58134,NA
45.36678,-73.54917,NA
50.15007,18.67762,EU
43.45174,-71.91369,NA
-7.7513,114.2178,AS
47.08333,27.88333,EU
12.21833,-61.63917,NA
40.73977,-6.17873,EU
39.49401,-74.45709,NA
47.65966,-117.42908,NA
45.81511,-122.7426,NA
47.26667,20.13333,EU
53.08583,103.3325,EU
16.75998,96.52498,AS
46.06667,27.11667,EU
9.02802,-79.90744,NA
32.25174,-110.73731,NA
21.91801,-101.96453,NA
35.88007,-90.16704,NA
26.10518,119.2784,AS
38.83799,16.5187,EU
9.62872,-70.22855,SA
50.95151,14.55699,EU
46.0791,10.29256,EU
-20.25694,-47.47667,SA
50.30771,21.33725,EU
21.65,110.9,AS
32.9029,-96.56388,NA
51.25251,4.50268,EU
32.08664,35.29094,AS
-6.78333,37.13333,AF
-7.1506,108.8095,AS
42.10935,12.83076,EU
51.48167,5.66111,EU
12.8683,124.1419,AS
42.45843,-71.06616,NA
14.5,-87.35,NA
45.91396,3.8446,EU
43.36276,13.34768,EU
-1.8,-53.48,SA
28.71512,118.49331,AS
42.49307,-89.03678,NA
48.03333,48.9,AS
54.23333,9.36667,EU
39.88853,4.26583,EU
53.75592,9.77088,EU
39.95276,-105.1686,NA
46.75132,123.60081,AS
51.25718,13.1081,EU
11.8687,123.9184,AS
41.70643,15.7277,EU
40.23373,26.60632,EU
42.45542,14.18457,EU
47.46667,22.36667,EU
-13.58917,-73.99444,SA
27.69776,118.36008,AS
19.61668,-72.02442,NA
40.56538,-74.26042,NA
49.81079,12.43318,EU
36.63619,57.07284,AS
-7.5774,108.3241,AS
36.47296,37.72113,AS
15.64453,32.47773,AF
49.08001,12.88566,EU
7.86667,123.06667,AS
42.96589,-78.87004,NA
-21.13778,-48.97278,SA
45.73851,7.58883,EU
40.85308,-1.09782,EU
35.73319,-81.3412,NA
21.08694,110.01711,AS
60.25512,5.10161,EU
47.88333,27.06667,EU
42.46869,-75.09378,NA
42.05807,120.67199,AS
15.84056,48.45556,AS
40.91672,-84.70274,NA
36.68367,-93.0499,NA
-8.2226,112.3661,AS
45.44725,20.85546,EU
-15.76803,-71.45952,SA
45.87459,9.89086,EU
40.80207,14.69334,EU
44.01667,25.23333,EU
47.3,1.76667,EU
43.32361,145.575,AS
42.76784,-78.61336,NA
16.1404,121.9573,AS
43.15784,12.60202,EU
49.88958,15.48853,EU
-19.69611,-46.17139,SA
46.16911,14.59698,EU
41.91171,-86.01001,NA
56.53333,36.53333,EU
-20.58333,48.53333,AF
50.70199,2.77829,EU
41.04316,14.88415,EU
16.65,103.3,AS
-2.911,-79.81441,SA
53.10639,-6.76528,EU
22.30362,-103.56751,NA
-9.7172,123.9899,AS
23.16411,105.40993,AS
45.22682,34.33698,EU
-6.9021,113.0268,AS
28.76138,-81.87091,NA
49.26333,8.135,EU
38.35002,-94.76135,NA
41.82898,-74.06848,NA
-15.61778,-46.42333,SA
16.00304,120.29108,AS
31.61735,35.14366,AS
-14.07139,-71.73972,SA
7.95457,5.23314,AF
22.58531,86.47682,AS
7.53002,-80.62109,NA
20.87429,-156.67663,NA
47.41301,9.18324,EU
47.5507,6.43273,EU
-8.744,116.8565,AS
31.22741,70.94923,AS
53.60855,19.2635,EU
38.97334,114.92205,AS
14.19528,120.87694,AS
45.07474,20.31898,EU
49.64385,22.04304,EU
44.035,-0.32323,EU
52.77613,13.70647,EU
13.58944,-89.28889,NA
-7.1022,106.8418,AS
28.91617,111.08545,AS
31.95443,120.96677,AS
31.98072,-95.09383,NA
53.88721,9.47809,EU
42.12697,-89.25566,NA
57.01095,63.73254,EU
40.66251,16.53551,EU
25.81201,-100.59874,NA
22.25528,-97.86861,NA
53.56744,-1.99723,EU
15.98505,120.26831,AS
-7.2293,111.4947,AS
32.55492,73.2122,AS
46.15793,11.15331,EU
15.72377,42.99582,AS
-25.24769,-58.09383,SA
43.36996,3.24759,EU
37.97715,-122.29525,NA
40.42972,-3.67975,EU
-14.22944,-72.58611,SA
33.35846,-93.57768,NA
48.65128,8.82417,EU
54.41222,34.02257,EU
33.7481,45.55503,AS
24.99662,116.79341,AS
26.14036,-80.21338,NA
20.60028,-100.11833,NA
17.4,-62.81667,NA
33.96047,133.30522,AS
47.25,11.26667,EU
40.76915,22.31331,EU
50.29482,3.54013,EU
48.17025,-111.94613,NA
53.1203,17.29102,EU
45.28465,-111.36829,NA
-8.88222,-36.19111,SA
35.30555,50.4992,AS
46.18455,12.75161,EU
22.4,84.76667,AS
51.14898,14.57063,EU
41.26929,126.35123,AS
40.20211,-3.88187,EU
23.90381,86.19792,AS
31.18287,32.03108,AF
-6.7782,111.5566,AS
47.0977,87.44536,AS
42.10336,-88.37286,NA
50.73841,-4.0016,EU
7.61759,-71.49164,SA
8.12139,125.3275,AS
28.92334,119.9676,AS
40.7251,-73.24539,NA
