x,y,0_5,100_,10_15,15_20,20_25,25_30,30_35,35_40,40_45,45_50,50_55,55_60,5_10,60_65,65_70,70_75,75_80,80_85,85_90,90_95,95_100,f,m,pop
0,37,3,0,3,3,0,0,4,0,0,3,3,3,0,3,5,6,0,3,0,0,0,18,16,34
0,38,31,0,41,44,27,34,33,33,35,46,44,41,47,40,40,53,18,21,11,3,0,318,325,643
0,39,11,3,23,25,22,23,20,12,25,26,31,23,21,30,36,29,20,13,5,5,0,218,185,403
0,40,0,0,0,3,0,0,5,3,3,0,0,0,0,3,3,4,3,3,0,0,0,15,12,27
0,43,0,0,3,3,0,0,3,0,0,0,4,0,3,3,0,0,0,0,0,0,0,8,9,17
0,46,0,0,0,0,0,0,3,3,3,0,3,3,3,0,3,0,0,0,0,0,0,9,10,19
0,47,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,5,8
0,48,0,0,0,0,4,0,3,0,0,0,4,3,0,0,0,0,3,0,0,0,0,6,10,16
0,49,3,0,0,3,0,0,3,0,0,3,5,3,0,3,3,0,0,0,0,0,0,13,11,24
0,51,4,0,0,5,0,3,0,0,3,0,5,5,3,3,0,0,4,0,0,0,0,22,14,36
0,52,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,3,4,7
0,53,0,0,3,3,0,0,0,3,3,0,0,3,4,0,0,0,3,0,0,0,0,10,14,24
0,54,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,3,0,3,0,0,0,4,8,12
0,55,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,4,7
0,56,3,0,0,0,0,0,3,3,0,3,3,0,0,5,0,0,3,0,0,0,0,8,9,17
0,57,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,5,4,9
0,58,0,0,0,0,0,3,3,0,0,3,0,3,0,0,0,3,0,0,0,0,0,10,8,18
0,59,0,0,3,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,5,13
0,60,0,0,3,4,0,0,0,0,0,3,3,0,0,0,4,3,0,0,0,0,0,10,11,21
0,61,0,0,0,3,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,4,7
0,62,0,0,3,0,0,3,3,4,3,0,0,3,0,0,0,3,0,0,3,0,0,12,14,26
0,63,0,0,3,4,3,3,3,0,0,4,7,3,0,5,0,0,0,0,0,0,0,17,22,39
0,64,3,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,4,7,11
0,65,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3
0,66,0,0,0,0,0,3,0,0,0,3,0,3,3,0,0,3,0,0,0,0,0,5,6,11
0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,3,7
0,68,3,0,0,0,3,3,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6,8,14
0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3
0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,71,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10
0,72,0,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,4,4,8
