x,y,value
4904,5032,208
4914,5032,108
4934,5032,45
4944,5032,1268
4954,5032,2
4964,5032,26
4974,5032,11
5024,5032,52
5034,5032,12
5094,5032,105
5104,5032,16
5114,5032,2
5144,5032,1
2764,5022,41
2774,5022,408
2784,5022,1215
2794,5022,1
2814,5022,1
2904,5022,108
2914,5022,18
2934,5022,2
2964,5022,942
2994,5022,3526
3004,5022,2
3014,5022,7
3054,5022,1946
3064,5022,22
3114,5022,2
3124,5022,24
3154,5022,267
3184,5022,387
4464,5022,11
4474,5022,180
4484,5022,188
4494,5022,398
4504,5022,42
4514,5022,163
4524,5022,159
4534,5022,7
4544,5022,1
4554,5022,59
4564,5022,62
4574,5022,22
4584,5022,26
4594,5022,49
4624,5022,224
4634,5022,59
4814,5022,2
4834,5022,6
4874,5022,14
4884,5022,39
4894,5022,109
4904,5022,5
4914,5022,42
4944,5022,158
4954,5022,52
4964,5022,60
4974,5022,6
4984,5022,7
4994,5022,3
5004,5022,76
5014,5022,36
5024,5022,81
5034,5022,31
5054,5022,6
5064,5022,85
5074,5022,1
5084,5022,53
5094,5022,55
2784,5012,2
2804,5012,900
2824,5012,16
2834,5012,1133
2874,5012,1
2884,5012,2
2914,5012,9
2924,5012,1073
2934,5012,1
2944,5012,8
2954,5012,95
2964,5012,30
2974,5012,9
2994,5012,4
3004,5012,10
3014,5012,3
3044,5012,1
3054,5012,9
3064,5012,333
3104,5012,2190
3114,5012,27
3154,5012,3
4464,5012,204
4474,5012,1225
4484,5012,311
4494,5012,249
4504,5012,6732
4514,5012,48
4524,5012,7
4544,5012,3
4554,5012,104
4564,5012,100
4574,5012,79
4584,5012,22
4594,5012,2
4634,5012,3
4734,5012,21
4744,5012,1
4754,5012,284
4774,5012,1
4874,5012,74
4884,5012,21
4894,5012,2
4904,5012,3
4914,5012,35
4944,5012,1330
4954,5012,1352
4964,5012,85
4984,5012,90
4994,5012,25
5004,5012,53
5014,5012,14
5024,5012,270
5034,5012,134
5044,5012,160
5054,5012,3
5074,5012,2
5094,5012,57
5144,5012,20
2774,5002,2
2784,5002,52
