x,y,value
18,79,868628
18,80,764441
18,81,764441
18,82,765559
18,83,764589
18,84,764589
18,91,17732
18,92,17732
18,93,19183
18,94,19147
18,95,19147
18,99,102744
18,100,423092
18,101,423092
18,102,421028
18,106,179027
18,107,179027
18,108,179027
18,116,84888
18,117,84888
18,118,84888
19,28,37724
19,29,37724
19,30,142131
19,31,141109
19,32,142131
19,33,141110
19,34,141110
19,35,144564
19,36,144564
19,37,144564
19,43,972886
19,44,972886
19,45,972886
19,54,934612
19,55,934612
19,56,934612
19,58,898886
19,59,917213
19,60,917213
19,61,809358
19,69,159685
19,70,159685
19,71,159685
19,76,201734
19,77,1086606
19,78,1086606
19,79,1086606
19,80,764441
19,81,764441
19,82,765559
19,83,764589
19,84,764589
19,85,656100
19,86,656100
19,87,656100
19,93,19183
19,94,19183
19,95,19183
19,100,421028
19,101,421028
19,102,421263
19,103,105444
19,104,105444
19,106,179027
19,107,179027
19,108,179027
19,116,84888
19,117,84888
19,118,84888
20,30,141109
20,31,141109
20,32,142131
20,33,141110
20,34,141110
20,35,144564
20,36,144564
20,37,144564
20,43,972886
20,44,975400
20,45,975400
20,46,974919
20,54,933610
20,55,934612
20,56,934612
20,57,867370
20,58,898886
20,59,898886
20,60,985102
20,61,923606
20,62,923606
20,76,201734
20,77,1086606
20,78,1088059
20,79,1088059
20,80,857568
20,81,764441
20,82,765559
20,83,764589
20,84,764589
20,85,656100
20,86,656100
20,87,656100
20,93,19183
20,94,19183
20,95,19183
20,102,105444
20,103,105444
20,104,105444
20,106,179027
20,107,179027
20,108,179027
20,116,84888
20,117,84888
20,118,84888
20,119,80156
20,120,80156
20,121,80156
21,30,141109
21,31,141109
21,32,142131
21,33,141110
21,34,141110
21,35,144231
21,36,144231
21,37,144231
21,43,972886
21,44,975400
21,45,975400
21,46,974919
21,55,867370
21,56,867370
21,57,867370
21,58,898886
21,59,898886
21,60,985102
21,61,923606
21,62,923606
21,77,1086571
21,78,1088059
21,79,1088059
21,80,747047
21,85,656100
21,86,656100
21,87,657088
21,88,656284
21,89,656284
21,91,23206
21,92,23206
21,93,36370
21,94,18963
21,95,18963
21,101,581526
21,102,588408
21,103,588408
21,104,105444
21,119,80156
21,120,80156
21,121,80156
22,35,143739
22,36,143739
22,37,143739
22,44,974919
22,45,1081261
22,46,1081261
22,47,1075853
22,48,1074216
22,49,1074216
22,55,867370
22,56,867370
22,57,867370
22,58,833026
22,59,833026
22,60,980853
22,61,923606
22,62,1171753
22,63,1146729
22,64,1146729
22,70,988875
22,71,989453
22,72,989453
22,73,989432
22,76,935406
22,77,935406
22,78,1015278
22,79,747047
22,80,747047
22,87,656284
22,88,656284
22,89,656284
22,91,23206
22,92,23206
22,93,23206
22,101,581526
22,102,581526
22,103,581526
22,119,101894
22,120,101894
22,121,101894
23,35,143739
23,36,143739
23,37,143739
23,45,1074405
23,46,1074405
23,47,1075853
23,48,1074216
23,49,1074216
23,55,1074497
23,56,1074497
23,57,1074497
23,58,868798
23,59,868798
23,60,868798
23,62,1146729
23,63,1146729
23,64,1146729
23,70,989453
23,71,989453
