x,y,population
3820000,2660000,7499
3440000,2640000,17010
4600000,1960000,775
5300000,2680000,4170
4560000,2640000,9038
4420000,3960000,2582
4760000,2880000,25648
4160000,4040000,559
3640000,3380000,24357
5540000,1800000,10739
3780000,2260000,61742
4900000,3260000,48731
4240000,2380000,8176
4500000,2180000,18411
4500000,2140000,49940
3940000,2480000,38445
3800000,3080000,122868
4920000,4540000,258
5020000,2520000,17079
4320000,2980000,120592
3260000,1960000,2373
3140000,3560000,12202
5060000,5180000,0
3560000,2040000,225434
5020000,2760000,67755
4280000,3160000,28327
2980000,1700000,22669
3420000,3280000,7806
4440000,2120000,4238
4300000,3160000,72718
3320000,1740000,49638
2820000,2100000,26772
3900000,2400000,38379
3400000,2800000,36449
3840000,3160000,45
4900000,2680000,30477
4100000,4380000,3730
4560000,1620000,53691
4080000,2780000,26021
4420000,4520000,95
5260000,2480000,6731
4140000,2440000,257639
5480000,2360000,75701
4300000,4060000,38493
5040000,2660000,8126
4280000,3200000,32947
4460000,3580000,19482
3420000,3140000,29277
4840000,1860000,29008
3300000,3800000,344
4820000,2780000,39334
3040000,1660000,14006
3520000,3440000,417039
5620000,2840000,17557
3040000,2400000,152379
5280000,1820000,8926
5400000,2620000,173574
4100000,4140000,6093
5660000,1740000,5617
4620000,2760000,50876
5180000,2880000,18957
4500000,3020000,23515
3660000,2340000,33287
4120000,2580000,20327
5520000,2020000,1068
5040000,2700000,18219
4220000,2560000,64833
4600000,2880000,25882
3180000,1600000,123260
4340000,4520000,180
3440000,2260000,2567
4720000,2740000,2057
5520000,2400000,12907
5660000,2640000,18564
4360000,4560000,200
4360000,4640000,1467
4060000,3920000,182
3520000,2080000,9837
4600000,4540000,153
5660000,2400000,10602
5200000,2120000,4258
4520000,4260000,0
5240000,3500000,178
3160000,4860000,225
4860000,1760000,30841
5540000,2740000,2371
3040000,1780000,5175
4700000,3000000,36575
4460000,3140000,72995
3180000,2180000,1080
5380000,3900000,502
4160000,4080000,7
4280000,1840000,6700
4440000,2940000,16913
4300000,2900000,23127
5100000,4060000,2741
4320000,4480000,10195
4360000,2280000,141458
3400000,1760000,273704
1120000,2540000,2061
5240000,3980000,5858
3600000,2160000,15530
4540000,4540000,2
5040000,5380000,2233
4440000,4400000,43
5060000,4520000,941
4900000,2460000,19294
4100000,2720000,77548
4260000,4120000,1163
2940000,1700000,45743
4840000,4900000,37
4900000,1940000,8129
5060000,3140000,109092
6360000,1640000,2384
3060000,3340000,190122
5120000,2240000,32512
3260000,3120000,69288
4880000,2820000,121334
5060000,2500000,27596
4260000,2160000,80076
4040000,4160000,23278
3240000,3120000,93212
4960000,2200000,2614
3940000,2300000,39088
2760000,2060000,29055
4880000,1860000,34886
5500000,2380000,12312
3200000,1920000,16855
4000000,2320000,25426
5040000,4920000,72
2840000,4880000,2456
4840000,3220000,48298
2940000,3360000,988
1760000,960000,3435
4820000,4760000,6224
4820000,2640000,12370
4280000,4500000,517
3300000,3120000,74607
3400000,3220000,407485
4840000,2540000,44320
4200000,2100000,4335
3700000,3260000,62597
4540000,3920000,49994
4760000,4560000,1885
5500000,2520000,36860
5040000,3340000,15770
3760000,3040000,22397
4920000,2840000,25752
4840000,1940000,11298
3500000,2600000,10724
3420000,1880000,976140
2900000,1820000,2190
3200000,1900000,14087
4700000,1420000,2742
3500000,3140000,85264
