x,y,2018,2011
115,112,0.0,82.0
115,113,0.0,15.0
115,115,0.0,4.0
115,116,0.0,28.0
115,90,0.0,10.0
115,117,0.0,14.0
115,118,0.0,3.0
115,91,0.0,18.0
115,119,0.0,67.0
115,92,0.0,15.0
115,93,0.0,8.0
115,50,17.0,67.0
115,94,0.0,27.0
115,95,0.0,35.0
115,51,0.0,192.0
115,52,75.0,275.0
115,53,35.0,84.0
115,97,110.0,110.0
115,98,0.0,8.0
115,54,100.0,196.0
115,120,0.0,2.0
115,121,0.0,8.0
115,123,0.0,39.0
115,124,11.0,88.0
115,125,11.0,70.0
115,126,7.0,40.0
115,127,0.0,77.0
115,62,349.0,354.0
115,63,206.0,267.0
115,67,25.0,57.0
115,68,36.0,123.0
115,69,7.0,13.0
115,70,110.0,159.0
115,71,12.0,49.0
115,72,20.0,38.0
115,73,0.0,1.0
115,74,0.0,10.0
115,75,65.0,24.0
115,76,0.0,3.0
115,77,50.0,58.0
115,78,0.0,2.0
115,79,0.0,3.0
115,105,88.0,122.0
115,106,0.0,7.0
115,80,0.0,27.0
115,81,0.0,1.0
115,82,0.0,9.0
115,83,0.0,10.0
115,84,0.0,12.0
115,85,0.0,9.0
115,86,0.0,2.0
115,87,0.0,3.0
115,43,111.0,7.0
116,88,0.0,1.0
116,44,7.0,8.0
116,45,18.0,60.0
116,46,20.0,41.0
116,47,35.0,68.0
116,48,0.0,52.0
116,49,63.0,185.0
116,112,0.0,30.0
116,114,146.0,149.0
116,115,0.0,45.0
116,116,0.0,52.0
116,117,0.0,12.0
116,90,0.0,1.0
116,118,0.0,8.0
116,91,0.0,3.0
116,119,0.0,21.0
116,92,0.0,9.0
116,93,0.0,19.0
116,94,0.0,21.0
116,50,67.0,375.0
116,51,22.0,201.0
116,95,0.0,9.0
116,52,0.0,6.0
116,97,54.0,60.0
116,53,0.0,122.0
116,54,12.0,2.0
116,98,0.0,165.0
116,99,0.0,1.0
116,120,0.0,7.0
116,121,23.0,87.0
116,122,6.0,64.0
116,123,0.0,21.0
116,124,41.0,89.0
116,125,17.0,252.0
116,126,397.0,691.0
116,61,524.0,578.0
116,62,263.0,304.0
116,64,286.0,292.0
116,65,258.0,272.0
116,66,117.0,121.0
116,68,19.0,1.0
116,69,8.0,34.0
116,70,3.0,17.0
116,71,0.0,52.0
116,72,0.0,47.0
116,73,0.0,3.0
116,74,0.0,15.0
116,76,55.0,22.0
116,77,45.0,67.0
116,78,0.0,4.0
116,79,0.0,12.0
116,100,0.0,121.0
116,104,0.0,310.0
116,105,0.0,87.0
116,106,0.0,7.0
116,80,0.0,6.0
116,108,0.0,1.0
116,82,0.0,6.0
116,83,0.0,8.0
116,84,0.0,16.0
116,85,0.0,19.0
116,86,0.0,17.0
116,42,0.0,49.0
116,87,0.0,7.0
116,43,172.0,43.0
117,45,337.0,368.0
117,47,287.0,354.0
117,48,42.0,177.0
117,49,30.0,160.0
117,110,0.0,62.0
117,111,0.0,12.0
117,112,0.0,28.0
117,114,0.0,7.0
117,115,53.0,50.0
117,116,39.0,101.0
117,117,0.0,42.0
117,91,0.0,2.0
117,92,0.0,6.0
117,119,0.0,3.0
117,93,0.0,8.0
117,94,0.0,20.0
117,50,180.0,206.0
117,51,422.0,410.0
117,95,834.0,664.0
117,96,4388.0,2851.0
117,53,122.0,124.0
117,97,444.0,222.0
117,54,2.0,176.0
117,98,23.0,294.0
117,120,0.0,10.0
117,121,0.0,31.0
117,122,6.0,52.0
117,123,0.0,2.0
117,124,0.0,53.0
117,125,0.0,21.0
117,126,788.0,690.0
117,127,0.0,79.0
117,61,738.0,735.0
117,62,75.0,76.0
117,63,300.0,292.0
117,64,470.0,527.0
117,65,1222.0,1125.0
117,66,355.0,333.0
117,67,411.0,284.0
117,68,136.0,177.0
117,69,870.0,520.0
117,70,180.0,182.0
117,71,8.0,11.0
117,72,0.0,18.0
117,73,0.0,10.0
117,74,44.0,28.0
117,75,0.0,15.0
117,77,26.0,21.0
117,78,0.0,8.0
117,79,0.0,9.0
117,100,10.0,0
117,101,0.0,116.0
117,102,0.0,1.0
117,104,50.0,225.0
117,106,0.0,230.0
117,80,0.0,3.0
117,109,0.0,8.0
117,82,0.0,4.0
117,83,0.0,4.0
117,85,4.0,7.0
117,86,25.0,18.0
117,42,4.0,0
117,43,19.0,19.0
90,66,172.0,218.0
90,89,0.0,9.0
90,67,123.0,177.0
90,68,103.0,88.0
90,110,0.0,7.0
90,111,0.0,13.0
90,116,0.0,11.0
90,90,0.0,13.0
90,117,0.0,2.0
90,118,0.0,2.0
90,70,11.0,7.0
90,73,0.0,1.0
90,74,0.0,3.0
90,75,0.0,4.0
90,77,3.0,27.0
90,120,0.0,2.0
90,121,0.0,2.0
90,122,0.0,1.0
90,124,11.0,18.0
90,125,0.0,1.0
90,103,0.0,13.0
90,104,0.0,3.0
90,126,0.0,2.0
90,127,0.0,7.0
90,105,0.0,70.0
90,106,0.0,1.0
90,107,0.0,36.0
90,80,0.0,1.0
90,108,0.0,69.0
90,109,0.0,32.0
90,61,83.0,8.0
90,62,808.0,58.0
90,63,151.0,20.0
90,86,0.0,1.0
90,64,56.0,137.0
90,87,0.0,4.0
90,65,86.0,23.0
118,44,207.0,211.0
118,88,0.0,6.0
118,89,0.0,2.0
118,45,1000.0,1015.0
118,46,23.0,23.0
118,47,25.0,64.0
118,48,206.0,227.0
118,49,1010.0,991.0
118,110,0.0,46.0
118,111,0.0,33.0
118,112,0.0,21.0
118,113,0.0,17.0
118,114,0.0,4.0
118,115,0.0,123.0
118,116,0.0,34.0
118,90,0.0,2.0
118,117,0.0,38.0
118,91,0.0,8.0
118,119,0.0,17.0
118,92,0.0,5.0
118,93,0.0,5.0
118,94,17.0,32.0
118,50,574.0,582.0
118,95,340.0,302.0
118,51,456.0,472.0
118,96,926.0,1336.0
118,52,210.0,214.0
118,97,10.0,0
118,98,0.0,3.0
118,99,6.0,67.0
118,120,0.0,28.0
118,121,0.0,29.0
118,122,11.0,63.0
118,123,6.0,16.0
118,124,22.0,94.0
118,125,992.0,1144.0
118,126,5505.0,6901.0
118,127,2111.0,2182.0
118,60,320.0,325.0
118,61,2424.0,2403.0
118,62,1987.0,1816.0
118,63,160.0,162.0
118,64,222.0,237.0
118,65,429.0,415.0
118,66,113.0,114.0
118,67,156.0,158.0
118,68,100.0,102.0
118,69,67.0,68.0
118,70,9.0,9.0
118,71,23.0,24.0
118,72,1.0,16.0
118,73,0.0,6.0
118,74,20.0,96.0
118,75,0.0,1.0
118,76,0.0,1.0
118,78,0.0,2.0
118,102,0.0,22.0
118,103,514.0,864.0
118,104,37.0,311.0
118,105,0.0,224.0
118,106,0.0,29.0
118,109,0.0,79.0
118,82,0.0,1.0
118,83,0.0,9.0
118,84,0.0,4.0
118,85,0.0,4.0
118,42,4.0,7.0
118,86,35.0,1.0
118,43,981.0,238.0
118,87,0.0,42.0
91,88,76.0,13.0
91,66,0.0,1.0
91,89,0.0,2.0
91,67,0.0,2.0
91,68,33.0,8.0
91,110,0.0,8.0
91,111,23.0,14.0
91,112,0.0,2.0
91,115,0.0,10.0
91,116,0.0,2.0
91,90,0.0,3.0
91,117,0.0,4.0
91,91,0.0,1.0
91,70,547.0,100.0
91,93,0.0,8.0
91,71,160.0,30.0
91,94,0.0,11.0
91,72,0.0,1.0
91,95,0.0,41.0
91,96,6.0,0
91,74,0.0,7.0
91,76,33.0,26.0
91,77,0.0,1.0
91,78,0.0,13.0
91,79,0.0,2.0
91,121,0.0,55.0
91,123,31.0,25.0
91,124,37.0,39.0
91,102,16.0,137.0
91,103,0.0,31.0
91,125,0.0,47.0
91,127,0.0,1.0
91,107,0.0,1.0
91,80,0.0,1.0
91,81,0.0,1.0
91,82,0.0,1.0
91,62,41.0,0
91,84,0.0,7.0
91,63,797.0,467.0
91,85,0.0,9.0
91,86,0.0,22.0
91,64,1049.0,767.0
91,65,18.0,9.0
91,87,0.0,52.0
92,88,96.0,5.0
92,66,0.0,1.0
92,89,19.0,29.0
92,67,0.0,1.0
92,68,131.0,10.0
92,69,40.0,0
92,110,0.0,1.0
92,111,0.0,6.0
92,112,0.0,4.0
92,114,0.0,35.0
92,117,0.0,4.0
92,90,571.0,563.0
92,91,336.0,262.0
92,92,69.0,112.0
92,70,93.0,16.0
92,71,351.0,80.0
92,93,90.0,466.0
92,94,32.0,121.0
92,72,0.0,4.0
92,73,0.0,1.0
92,95,0.0,2.0
92,96,0.0,1.0
92,74,0.0,1.0
92,75,32.0,2.0
92,76,0.0,15.0
92,77,0.0,12.0
92,99,0.0,4.0
92,78,0.0,15.0
92,79,0.0,2.0
92,120,5.0,63.0
92,121,0.0,6.0
92,122,0.0,6.0
92,100,0.0,7.0
92,101,0.0,32.0
92,123,47.0,65.0
92,102,0.0,2.0
92,124,28.0,42.0
92,103,0.0,16.0
92,125,0.0,6.0
92,127,0.0,2.0
92,80,0.0,1.0
92,82,0.0,11.0
92,62,152.0,109.0
92,63,1183.0,941.0
92,64,13.0,25.0
92,65,28.0,18.0
119,44,112.0,113.0
119,88,0.0,20.0
119,89,0.0,2.0
119,45,955.0,928.0
119,46,19.0,19.0
119,48,191.0,247.0
119,49,941.0,886.0
119,110,0.0,74.0
119,111,0.0,25.0
119,112,0.0,32.0
119,113,0.0,84.0
119,114,0.0,217.0
119,115,343.0,277.0
119,116,0.0,43.0
119,90,0.0,5.0
119,117,0.0,96.0
119,91,0.0,8.0
119,118,0.0,25.0
119,92,209.0,71.0
119,119,0.0,89.0
119,93,0.0,2.0
119,94,0.0,8.0
119,50,6.0,19.0
119,51,1818.0,1845.0
119,52,12.0,12.0
119,96,33.0,0
119,53,197.0,331.0
119,58,36.0,39.0
119,59,889.0,834.0
119,121,0.0,127.0
119,122,34.0,76.0
119,123,22.0,49.0
119,124,772.0,1450.0
119,125,3796.0,3088.0
119,126,479.0,215.0
119,127,5013.0,2843.0
119,60,676.0,696.0
119,61,425.0,432.0
119,62,622.0,613.0
119,63,265.0,268.0
119,64,290.0,290.0
119,66,44.0,44.0
119,67,195.0,198.0
119,68,123.0,124.0
119,69,277.0,281.0
119,70,23.0,23.0
119,71,87.0,89.0
119,72,138.0,227.0
119,73,64.0,60.0
119,74,17.0,18.0
119,75,0.0,4.0
119,76,0.0,3.0
119,77,15.0,0
119,101,82.0,1.0
119,102,39.0,147.0
119,103,4279.0,1993.0
119,104,2446.0,2676.0
119,105,0.0,30.0
119,106,0.0,167.0
119,107,0.0,120.0
119,108,0.0,89.0
119,84,0.0,3.0
119,85,0.0,3.0
119,42,463.0,227.0
119,43,922.0,873.0
93,89,0.0,8.0
93,67,0.0,2.0
93,68,21.0,10.0
93,69,0.0,4.0
93,111,0.0,4.0
93,112,0.0,1.0
93,113,0.0,2.0
93,114,0.0,6.0
93,90,3922.0,1394.0
93,117,0.0,1.0
93,91,1478.0,1453.0
93,92,294.0,539.0
93,70,0.0,3.0
93,71,0.0,2.0
93,93,390.0,909.0
93,72,0.0,19.0
93,94,405.0,917.0
93,95,6.0,93.0
93,73,0.0,1.0
93,74,0.0,9.0
93,75,27.0,2.0
93,78,0.0,11.0
93,79,0.0,5.0
93,120,5.0,0
93,100,0.0,5.0
93,102,8.0,0
93,103,0.0,1.0
93,104,0.0,6.0
93,127,0.0,3.0
93,80,0.0,6.0
93,81,0.0,1.0
93,83,0.0,15.0
93,62,435.0,1756.0
93,85,0.0,6.0
93,63,8342.0,11565.0
93,64,496.0,166.0
94,88,623.0,202.0
94,67,0.0,2.0
94,89,5161.0,3160.0
94,68,19.0,15.0
94,69,311.0,350.0
94,111,0.0,2.0
94,112,0.0,3.0
94,113,0.0,27.0
94,90,14084.0,14531.0
94,91,6531.0,6154.0
94,70,1.0,4.0
94,92,197.0,277.0
94,71,14.0,8.0
94,93,87.0,234.0
94,72,0.0,3.0
94,94,285.0,507.0
94,95,61.0,210.0
94,96,17.0,45.0
94,75,0.0,1.0
94,97,37.0,29.0
94,76,0.0,4.0
94,77,51.0,24.0
94,78,0.0,29.0
94,79,0.0,1.0
94,100,0.0,3.0
94,124,0.0,29.0
94,103,0.0,11.0
94,125,0.0,15.0
94,126,0.0,28.0
94,104,0.0,9.0
94,127,0.0,6.0
94,80,0.0,2.0
94,81,0.0,4.0
94,82,0.0,3.0
94,62,1245.0,117.0
94,63,2527.0,868.0
94,86,0.0,1.0
94,64,193.0,65.0
94,87,16.0,2.0
95,88,1373.0,1284.0
95,89,8349.0,6511.0
95,67,23.0,8.0
95,68,164.0,85.0
95,69,5928.0,7440.0
95,90,14706.0,16669.0
95,91,3591.0,3199.0
95,70,0.0,1.0
95,119,1.0,6.0
95,93,7.0,18.0
95,95,18.0,64.0
95,96,0.0,4.0
95,75,3.0,0
95,97,0.0,13.0
95,77,12.0,6.0
95,78,0.0,1.0
95,124,268.0,258.0
95,102,0.0,10.0
95,125,0.0,21.0
95,103,0.0,15.0
95,126,0.0,36.0
95,104,0.0,6.0
95,80,0.0,3.0
95,81,0.0,3.0
95,61,31.0,228.0
95,62,550.0,534.0
95,85,13.0,58.0
95,63,488.0,269.0
95,64,208.0,29.0
95,86,8.0,51.0
95,87,6.0,12.0
96,88,91.0,174.0
96,66,62.0,27.0
96,67,149.0,62.0
96,89,686.0,967.0
96,68,1640.0,1347.0
96,69,4507.0,5506.0
96,113,0.0,51.0
96,90,2085.0,1366.0
96,118,0.0,8.0
96,91,331.0,264.0
96,70,0.0,4.0
96,92,0.0,8.0
96,93,0.0,15.0
96,97,0.0,2.0
96,76,0.0,14.0
