x,y,clc
28,104,24
28,105,20
28,106,29
28,107,29
28,108,24
28,109,24
28,110,24
28,111,24
28,112,29
28,113,29
28,114,29
28,115,20
28,116,28
28,117,24
28,118,29
28,119,29
28,120,26
28,121,26
28,122,29
28,123,29
28,124,21
28,125,21
28,126,21
28,127,21
29,100,20
29,101,29
29,102,29
29,103,29
29,104,20
29,105,20
29,106,29
29,107,29
29,108,29
29,109,24
29,110,24
29,111,24
29,112,24
29,113,29
29,114,29
29,115,24
29,116,28
29,117,28
29,118,28
29,119,29
29,120,26
29,121,26
29,122,29
29,123,29
29,124,29
29,125,21
29,126,21
29,127,21
30,100,20
30,101,20
30,102,20
30,103,20
30,104,29
30,105,29
30,106,21
30,107,29
30,108,29
30,109,24
30,110,29
30,111,29
30,112,24
30,113,24
30,114,24
30,115,24
30,116,21
30,117,28
30,118,28
30,119,26
30,120,26
30,121,26
30,122,26
30,123,29
30,124,29
30,125,29
30,126,21
30,127,21
31,100,29
31,101,29
31,102,29
31,103,29
31,104,29
31,105,29
31,106,21
31,107,29
31,108,29
31,109,29
31,110,24
31,111,29
31,112,24
31,113,28
31,114,28
31,115,28
31,116,26
31,117,26
31,118,26
31,119,26
31,120,26
31,121,26
31,122,26
31,123,26
31,124,29
31,125,29
31,126,29
31,127,29
32,101,29
32,102,29
32,103,24
32,104,24
32,105,24
32,106,24
32,107,24
32,108,21
32,109,21
32,110,21
32,111,24
32,112,24
32,113,24
32,114,28
32,115,28
32,116,28
32,117,26
32,118,28
32,119,28
32,120,26
32,121,28
32,122,28
32,123,28
32,124,24
32,125,29
32,126,29
32,127,29
33,100,24
33,101,24
33,102,29
33,103,24
33,104,29
33,105,24
33,106,24
33,107,29
33,108,24
33,109,21
33,110,21
33,111,28
33,112,24
33,113,21
33,114,24
33,115,28
33,116,24
33,117,29
33,118,29
33,119,28
33,120,28
33,121,28
33,122,28
33,123,28
33,124,24
33,125,21
33,126,21
33,127,29
34,100,24
34,101,24
34,102,24
34,103,29
34,104,29
34,105,29
34,106,29
34,107,29
34,108,24
34,109,24
34,110,28
34,111,24
34,112,24
34,113,24
34,114,21
34,115,24
34,116,24
34,117,24
34,118,29
34,119,29
34,120,28
34,121,28
34,122,28
34,123,28
34,124,29
34,125,21
34,126,29
34,127,29
35,100,24
35,101,24
35,102,24
35,103,24
35,104,24
35,105,24
35,106,29
35,107,29
35,108,24
35,109,24
35,110,24
35,111,24
35,112,29
35,113,24
35,114,24
35,115,21
35,116,24
35,117,24
35,118,28
35,119,29
35,120,28
35,121,28
35,122,28
35,123,28
35,124,29
35,125,29
35,126,29
35,127,29
36,100,24
36,101,24
36,102,21
36,103,21
36,104,21
36,105,29
36,106,29
36,107,29
36,108,29
36,109,29
36,110,29
36,111,29
36,112,24
36,113,24
36,114,24
36,115,24
36,116,29
36,117,24
36,118,29
36,119,29
36,120,29
36,121,29
36,122,29
36,123,29
36,124,29
36,125,29
36,126,29
36,127,29
37,100,24
37,101,24
37,102,29
37,103,29
37,104,29
37,105,29
37,106,29
37,107,29
37,108,29
37,109,29
37,110,29
37,111,29
37,112,24
37,113,29
37,114,29
37,115,29
37,116,29
37,117,29
37,118,29
37,119,24
37,120,29
37,121,29
37,122,29
37,123,21
37,124,29
37,125,29
37,126,29
37,127,20
38,100,28
38,101,28
38,102,28
38,103,29
38,104,29
38,105,29
38,106,24
38,107,24
38,108,24
38,109,29
38,110,29
38,111,24
38,112,29
38,113,29
38,114,29
38,115,29
38,116,29
38,117,29
38,118,29
38,119,24
38,120,29
38,121,29
38,122,21
38,123,21
38,124,29
38,125,29
38,126,29
38,127,29
39,100,28
39,101,28
39,102,28
39,103,28
39,104,29
39,105,29
39,106,28
39,107,24
39,108,24
39,109,29
39,110,29
39,111,29
39,112,24
39,113,29
39,114,29
39,115,29
39,116,29
39,117,29
39,118,24
39,119,24
39,120,21
39,121,29
39,122,29
39,123,29
39,124,21
39,125,21
39,126,21
39,127,24
40,100,28
40,101,28
40,102,28
40,103,28
40,104,28
40,105,28
40,106,28
40,107,29
40,108,24
40,109,24
40,110,21
40,111,21
40,112,24
40,113,24
40,114,24
40,115,29
40,116,7
40,117,29
40,118,29
40,119,29
40,120,24
40,121,24
40,122,29
40,123,29
40,124,29
40,125,29
40,126,29
40,127,29
41,100,24
41,101,28
41,102,28
41,103,28
41,104,4
41,105,28
41,106,28
41,107,29
41,108,29
41,109,29
41,110,29
41,111,21
41,112,21
41,113,21
41,114,24
41,115,24
41,116,7
41,117,29
41,118,29
41,119,29
41,120,24
41,121,24
41,122,29
41,123,29
41,124,29
41,125,29
41,126,29
41,127,29
42,100,24
42,101,24
42,102,28
42,103,28
42,104,28
42,105,29
42,106,29
42,107,29
42,108,21
42,109,21
42,110,26
42,111,24
42,112,24
42,113,24
42,114,24
42,115,24
42,116,24
42,117,21
42,118,29
42,119,29
42,120,24
42,121,24
42,122,24
42,123,29
42,124,29
